chccmazovu,kkoayxxwwb,gakedwirek,jeotwyvrsh,qghccxifwv,prxokymfne
-0.392,964,-976,DOG,-861,-0.196
Cat,78,CAT,910,oedcfstztk,0.335
dOG,CAt,dog,nkxhdkxqcc,185,-0.073
ifmxfzauyi,-401,-877,867,-887,988
yfygfabjka,603,0.2365,474,170,-0.2715
0.164,caT,gxpspzbycu,514,0.409,DOg
mnqgkccwol,gnivbqrtsb,zrfadajpzq,caT,-0.2365,0.14
nmyevpawla,532,-0.129,140,bfwxnlpzjk,-776
znooicabpm,837,-0.233,0.3,qydmnfcfjt,-0.3385
79,cAt,675,587,nuabtrcfih,0.384
-898,txdnuttlit,-0.2465,-0.454,67,-0.0045
382,CAt,-870,mwdrhpylhd,-105,fqfjblktqw
hcxevbuuaf,447,dalyxcxebm,rvwjllceyb,15,-427
0.3035,dOG,0.1745,-0.302,xbpaldbzdy,0.343
-0.049,649,mtbbhyqwir,0.346,-0.48,dog
0.1705,-1000,-0.182,ltcqezegfv,CAt,844
megetqxflz,doG,-0.455,hbxgllgxtc,346,-542
755,-710,859,-753,-198,dsavbwskoc
615,-0.3445,chjoxvawrx,bjcogwwple,voogqfwmak,0.0225
0.486,731,-392,cAT,-980,-335
-0.2185,-835,-0.422,317,foicaeqppz,67
0.0055,0.4,dOg,dog,-110,frbdiiavpn
0.3135,ierdxhmxmg,caT,cAt,eakhkkrfyu,-0.426
Cat,0.4025,Dog,0.067,-0.089,eqdezvzcdx
