cghjgalevo,hktsukoncj,kjbksikmjo,hovqbyrnvu,nonvrbtxya
-0.3165,lgochsxmnb,cejhbcgtll,mxvbtnsuyf,-0.127
nakffyacfl,gnhluatohe,600,27,-397
-0.1955,985,CAT,CAt,iyfmrezihl
-0.326,194,dqxnzkptyi,Dog,-500
-0.266,0.183,dOG,39,qoacxsvuax
caT,-0.269,205,dOG,dOG
dog,0.398,-240,641,162
CaT,-0.2475,Dog,-0.4425,933
sawdagaxco,-0.4615,-36,CAt,-729
0.2885,doG,-478,-0.128,-0.036
DoG,gpyozimoaf,996,503,dOG
-0.346,23,Cat,goaowbrerm,ecgyhkbpfw
-0.116,0.0265,umqmqmepqy,720,zswnlakngf
ujeilqjlpj,CAT,jyhfugpzfr,-0.2435,xchnfajzvq
609,171,-0.2385,0.2215,-0.495
shmrqwpazv,0.3445,0.1875,-0.4885,-0.1485
sfzjaobijw,0.4245,-235,-444,doG
-311,cynrusdaro,-269,0.0635,907
-0.181,0.4345,jenpsfnqtr,0.221,qhbzovhpjm
-0.437,Cat,0.447,-0.4915,0.051
acwjszrkfy,ovcztadqpn,-528,dog,mswlmaxkti
rogkhxcjlj,-296,-0.1425,0.446,-827
cbgukducxo,mlgzwmbcur,dOg,-96,0.214
242,msjaqygcbe,0.419,0.4355,CAt
0.2265,DoG,CaT,-589,awpdswrtqg
masmdvdkvg,cAT,caT,yeqyvtycek,-0.227
bhmzivwvbx,770,401,-372,0.0705
cat,Dog,dOG,ymreakeosw,dOG
oviuubjudh,-0.0825,cyvnpfsenl,0.0455,dzfgsesmcp
-215,-849,CaT,-0.3145,DOg
0.173,-0.215,nzalvqjfhd,-570,-224
-630,546,0.182,0.171,-0.1555
mmgytclplu,-0.1275,-629,mycydzleol,cat
-0.1095,Dog,uiuyacgkor,gkiqjwhcqd,0.389
DOg,-0.427,697,duuesjwmat,-630
-10,Cat,Cat,dog,jhewszbltb
-0.4915,296,0.4835,491,cAT
0.027,-0.499,qjthwzlooh,-0.4155,blpywukmnq
-507,465,-0.348,228,845
dog,Cat,Cat,ktcxbtfqhi,-576
Dog,dqmgqnlgnp,-157,0.4995,-0.29
0.4575,732,-0.02,CAT,-183
-863,pwrfmqcolv,dOg,0.319,0.405
0.2845,yvhuunxqru,-0.3,migxnpcyde,sllbazbkco
smxvmivwee,0.294,0.0895,794,0.159
0.4445,-0.144,0.0205,cAt,894
cAt,-0.1085,0.2205,dog,618
0.1075,-0.027,0.3445,qczvvjwdtl,DoG
bvwiqcmupf,-908,-0.011,752,Cat
0.3165,lzttfzeqpp,-12,0.4155,dqjbdvlaga
-0.37,360,-0.247,Cat,-888
iendyuwnpl,10,wfmekddkte,dOG,DoG
yphykyvvnc,0.443,588,-528,-0.134
DOg,0.094,mzelzfnuki,367,euvfqljnqu
tifverdgdt,0.4445,CAT,183,vkqzkpzwlf
-329,DOg,-0.407,-617,0.019
-915,CaT,-441,Cat,doG
-0.067,sktpfzmbod,DOG,mbduuoplxt,CAt
-0.3165,omnvmeonoi,dOG,211,bswaxpxsnl
-312,0.45,874,mxoqwbbvri,0.2475
yxdymkbtan,Dog,0.2555,DoG,577
0.079,-0.207,527,DoG,takocpwdfi
letlkkowei,-403,-0.0325,977,yejezznvvr
kerwxtphzr,723,-783,952,0.249
-0.293,-0.251,caT,nwqgzuzgxd,dog
dOG,-0.3495,okkzigiimr,DOg,dOg
wepwdusyrz,-667,-964,DoG,hrxmbgqgid
-0.048,-0.45,CAt,-0.4265,DOG
0.4155,-0.319,fkbppenxiy,-882,0.3685
-326,0.4905,0.0195,tansxofyax,0.1335
CAt,920,0.0885,Cat,-419
fyftcrgrlp,doG,nmvnfvqfdt,vzuybpjlde,DoG
-0.0515,856,ftmdkpubod,cAT,-0.4725
irrnrjdsas,-0.3375,dOG,-0.102,684
