qbudmucqxk,insxavunki,peT,mvspklxqjv,zixnhosgca
0.2095,0.093,Dog,yxiedxlxrb,-0.3695
pvaumhzqva,438,xsbcbriawr,-84,cAT
-691,-225,vargsnfxri,tlunfwsfqv,0.365
nihwwmfnzy,-676,dOG,349,539
lgrxvdaela,-0.3825,dmmreyttyz,0.083,0.282
-0.372,Cat,cat,cAT,0.1395
Dog,iusrlxngcp,dOg,-0.077,dOg
yrgfuuuehx,zbetsjvthf,DOG,0.2305,dxpadujupd
0.203,563,jphrrjpifz,Dog,554
0.331,sxutlgndau,-758,0.3465,-393
-257,-370,Dog,0.287,-173
hnfynhaswc,0.036,cAT,-0.465,739
0.3665,doG,Dog,0.471,374
DOg,-425,caT,520,ouszifhaex
0.331,doG,Dog,fyyefgxmsd,aeipwfggln
ebhgfjmwar,DoG,doG,-429,cat
49,dog,cAT,wgblmrwkle,dOG
okxpddrqsy,-0.1775,CAt,-0.3005,-0.439
psfacqudun,0.2285,cAT,ymwajwgmie,CaT
caT,123,214,0.173,tgaubasaqo
-0.2435,778,doG,-91,-0.22
DOG,Cat,Dog,xjmfsluwim,0.1215
824,-0.135,CAT,-629,phnzphvbac
dog,354,382,0.101,487
-0.351,-0.485,nplkjndmqj,-267,-0.319
fqoeypbicf,Cat,-335,-330,Dog
-0.0875,0.024,DOG,-649,pneptoilpt
CAT,abpjpxcvgc,-0.0465,995,186
Dog,neusxquueb,DOG,glvzuxwtrj,200
-372,0.2585,DOg,DOG,-481
qvyianlyhr,dOg,Cat,ngemqwrmht,0.3435
ymwbhyhbgp,-0.371,caT,0.4025,qweinipwxd
iznvgukbxa,ytpmfmgakc,ezjxwydqvd,0.2435,0.131
apevcaqggb,375,optjijkhcg,0.4945,znyhrvhrta
0.0525,omprgskyol,Cat,lqseyiatmr,0.3985
-833,hiccqwpuoj,cAT,0.2685,qmfeoxiqdg
367,-988,dOG,cAt,CAt
oiczxcytjj,fmenwgxdoz,doG,-920,910
351,ktiozcdnaj,0.255,-0.1445,pokkoplxeh
-0.2485,-711,ieizkccrxq,prxbvrksjv,0.223
vhisrnnnsr,-97,643,-641,xyvknfbuus
199,353,-543,zjqorwzide,-0.014
cat,CaT,dOg,0.283,0.272
-859,-674,DoG,-691,Dog
-623,917,dog,343,DOg
0.3705,mrvorotvyi,dOG,5,dOG
-406,379,cAT,0.307,ijvqhrwhqo
caT,55,DOG,fbsqfjpscl,qxgkjxcguy
jwoxiknohv,-0.3305,-0.017,0.231,bdqdawwegc
xpbjsfnvtz,yccnovwyrd,cAt,oqtjqozmls,cAt
-354,-235,DoG,-0.0915,0.413
0.133,rrggprhpbb,cat,ehtobnghkb,-0.005
ydlqdsajje,DOg,caT,DOg,CAT
-772,xfvqwxoxma,-0.2255,cat,CAt
dog,DOg,CAt,pmowpzdloj,-0.196
0.3335,-23,-753,cAt,eslyqktptl
0.497,48,cat,751,dog
cesmvdrxhw,-67,-0.1615,vfaeyjezjc,cAT
-892,dnkckubbki,dOg,ilhtwqirip,bgsxpjxyqv
DOG,331,Cat,Dog,kajicqsifl
-900,0.275,Cat,iowpvfzijc,0.133
ulvnlltwcc,fghluafjpa,CAt,dOG,gziairfeew
ormgnvosnf,mgidjqvwgg,-0.325,lwdfaxugiw,-0.2725
883,523,vcaepstqzd,-0.4845,pnonuwwtha
0.313,bgzbjzesne,caT,uiqftebusl,-0.241
jncdjbpdyy,DOG,dOG,qzeejykstb,CAT
292,dOG,Dog,CAT,-0.4315
