lybqhfgjxn,byyfnrjnil,ltfckxqcwx,nvwpttztzi,jjxwjhprtc,pET,datpsxhwwd
budzlinvfl,vwmktnaime,455,-84,wreaghaxpd,cAT,573
-731,nbxegaeyvm,-0.055,608,-238,CaT,Cat
888,-0.284,102,qnoyglquhe,-887,Cat,419
vvdsqwpeks,DoG,sbajrvaddu,lvnujsqlvw,oqxswxklbv,Dog,539
cAT,tfhrzzqubv,307,0.216,lwtpmqluul,cAt,0.3305
0.2245,0.169,cAt,qbwbzkfgyz,qpkdktmpsg,DOg,dog
wvqkvwhpgu,DOG,-0.2095,doG,DOG,Dog,-0.372
mltruvjhih,lxwywfdtyo,-320,363,923,dOg,Cat
dOg,-0.165,806,qqdcdmvozh,tygklzwkxt,doG,dOg
DOg,-0.2885,0.49,whbzosdvkp,220,dOG,0.435
-978,798,-967,CaT,-479,cat,tnsfpgifdo
674,-0.221,752,-0.245,DoG,DOg,-43
660,btuhmoqiia,cat,-0.2175,caT,0.403,0.217
-0.1445,cyuvihubds,yqyrmhfvhk,DoG,0.0475,doG,xsxrhkaawz
151,0.259,kvaprnhkah,imdxjhnnfo,0.129,caT,pgcqleylor
dOg,cphgkzqnpx,mfteaezjix,tekricycmk,pranosgkfo,-554,lsaqvujuih
-0.363,sdsqbnxmyf,-0.4975,urweusbbcy,jyxktnymkw,caT,-956
0.369,DoG,gefxefbago,fmdsbvlomm,vsfogqbgim,cAt,-785
caT,caT,-932,-0.326,dnslfagmaq,caT,235
jjwaknlvxm,wojbrohgeq,mgbjgvssra,-0.28,-189,CAt,-0.4155
675,Dog,xqnqldltdg,scksadifqv,CAt,DOg,hgthhlecef
eqnieaixwb,851,-0.447,cat,0.1885,cAt,0.144
caT,dfblpzhwhu,flxdykygjn,-0.3035,-0.4915,caT,0.0795
jmhjfmykqu,onzsjjmcus,0.3665,0.12,yiryvjiqrd,dOG,-0.2395
-0.1245,-0.012,-707,cat,28,cat,0.2655
0.2255,dog,-761,0.054,579,pndxktzbpd,752
615,-0.063,fjxwfkszve,436,CAt,655,140
-0.3265,596,0.2385,-13,866,dOg,prsikhipnb
cAt,iavixsqckr,cat,ymwnazrvzd,-911,0.412,Cat
0.4655,-229,-0.1235,keatcpozna,463,CAt,wytqbrzwkf
0.31,-930,0.1745,xmlvjqblkg,-0.218,cAt,0.0315
CAt,-0.0475,dyhhjweuph,cAt,-642,CaT,0.471
0.0865,elmfdujyts,0.2285,qwlfrikapb,-0.0375,cat,176
irpyenyhww,-550,0.41,-0.0585,486,shhehfrzro,0.2055
-577,0.409,-789,0.4585,712,14,DOG
rlxfcfrpfs,0.475,861,746,-0.333,65,-64
-0.109,CAT,-506,kmczpkbafg,0.231,CAT,enhbiwzfym
506,mbhngfslsq,yqqicwmqmc,259,klwybqvxgx,dOg,-918
-549,792,dOg,-1000,DoG,-15,-0.1655
-0.068,0.3605,olyvhahylu,0.4525,-731,CAT,-431
zibmohqgth,doG,0.4075,-0.0185,553,cAT,llnswesmoz
bejyxnqqhg,622,srnxlhdfuh,0.29,szvtefbknz,dOG,298
pyiujcqzzy,0.0425,-397,-0.051,whbsvrisjk,cAt,-0.072
368,-722,-0.1745,doG,afotysprgg,fxnmthjeun,533
-407,-0.4475,dOG,213,116,cAt,0.4875
-458,0.496,-0.0665,CaT,757,dOg,pjvhcvdyjt
yapkdmrdzk,dOG,-705,dOG,deeaeclwwr,Cat,0.037
0.0325,nqrfmqfdum,-0.2845,DOg,-93,dOg,-844
0.3575,-0.0925,0.2145,DoG,143,Dog,-312
448,0.3485,681,psnxerfzdh,-0.108,dOg,cAt
0.1175,DOg,746,-996,cAT,doG,-979
825,nlsvcgosqp,-0.0295,Dog,doG,dog,0.0045
-452,864,-0.317,-450,dOG,-155,DOg
-344,nvsdygfkbq,0.349,-816,kvooysxzrs,cAT,0
syvumjibmz,437,tlkakquruz,279,842,-517,-0.49
0.3065,drnrclrtge,-0.196,0.0875,cAt,cAt,0.2075
0.117,caT,dog,-0.2975,oblfexiudp,dog,37
-771,703,qyugvuqxzs,nmzwddfoig,vqtfiaahgd,DOg,589
vsxzxutzfd,-0.378,-0.0965,-142,-0.246,baksdvsmtn,-987
CAT,CAT,bvseepdubd,doG,-499,CAT,-0.08
dmrlbqrqlp,-0.0495,doG,-0.2225,-489,Dog,-0.0085
-511,601,0.3765,mpejxkzeet,otytlagqvc,0.175,-0.198
dog,865,-729,vaprzvpatc,xrvnnnfqsz,cAt,-923
-0.3255,-870,jmlxcpordw,dOg,58,-0.091,kfuyhfxjgt
7,-211,kxrfxqhsai,mesnwowhuw,0.0135,Dog,676
