peT,lpoufwjxdn,hveoleifjn,wpxhixwxge
DoG,798,186,-382
143,caT,dOg,41
0.267,junzvkjblk,605,459
cAT,0.187,ujujrvxevz,Cat
CaT,-0.1055,-175,417
Dog,-331,953,tspkiiyknz
-185,wioxjfuabx,xhquwesbol,-249
cAT,-0.302,-0.0645,0.4675
CAT,fystgbenpi,-0.4395,vxzdzunqti
DOg,236,0.1935,0.275
Cat,568,-0.277,-0.2775
Cat,trxevuwkov,-164,-201
780,fakomsldum,372,-86
cat,qrlhsayftd,506,-0.449
DOG,212,bdnoocgaud,-0.226
-0.0975,CaT,-0.496,817
cAT,izuvupziwx,lbpexhixzj,-0.127
mspcbutshu,-302,hjxcldsxgl,dOg
CAT,0.414,-191,dog
dog,0.319,CAT,dOg
Dog,-0.241,izngkqtjaf,zwgesoxtft
DOg,-532,0.4105,CaT
caT,0.055,pkfsjworvs,uvyfewbjwu
DOG,gaghtoelar,pntlgjcriy,-972
DOg,702,-706,-370
vysmfxmbah,0.099,-119,qpmtwissdn
cAt,eucsipqtcq,31,-0.2725
-0.059,-572,-623,zkiltustwo
dog,zjgruyfcmd,DOG,0.493
doG,CAT,176,pjtxsuaoss
cAt,0.159,-0.402,-661
dOG,nkannimibu,dOg,0.438
CAT,ymkcjqwfmp,-602,0.437
Dog,-0.2125,swhuahvodt,Dog
cAt,izqebfwejv,-0.041,DOG
-0.4505,Dog,395,981
998,-0.3855,okjgogysak,-743
cAt,-301,-765,922
402,0.195,341,ojwcchlkly
-823,cat,dog,cAt
Cat,dog,330,saaojplabg
DOg,shpqcotsnx,738,830
DoG,0.1515,478,-0.1475
Cat,612,dOg,-0.104
dog,-550,358,389
CaT,wcchsxgpvt,-0.079,Cat
dOG,CAt,risrswmyev,867
cAt,cpotfrpifj,bcrrcaknbc,dOg
cAT,dOg,0.398,-0.3165
-0.01,-0.3015,366,kjyrfwuldd
dOg,481,-341,257
dOG,CaT,-284,cAT
zoywxfrwcz,CAt,wvxqmfygfy,-0.352
dOG,-941,-76,mouwypvyzf
cat,yvjeonwtom,cAt,-0.1705
CaT,fvpjczirvg,0.395,dOG
