izbziqtfbv,xwntrrxdbf,ibajvkkpwt,xrfbrbyctd,fdhvqnvxci,shavvzswwm,gbvavgqpoz
cAT,dog,9,-0.4535,-0.35,19,-0.2435
ggfudfmbwk,349,ziejxeaznw,273,-0.2825,123,dnvjlwxisc
0.375,0.274,npccdaiadc,0.473,-601,-0.485,CAT
-947,-0.1225,0.146,DOG,cAT,aoirlaiheq,-0.2225
yihqbqmroe,nyzubhjqwx,765,-0.264,0.4885,213,lfjiduvfea
DOG,-0.4445,dog,99,-0.458,hnmfamppwb,-0.133
-0.3945,-324,zbwmnlaoia,CAT,uyvgajorsc,xjbeilsxla,iditkotcyr
-747,-0.497,-296,-492,0.0625,0.2875,avfrovsfph
-485,234,Cat,-0.3605,40,caT,pfsmazxmmi
0.332,Cat,dOG,Dog,DOg,0.0185,710
566,dog,dog,-0.426,-821,-139,cAT
kyexdohmic,pcbbzjpjse,0.399,-0.348,rplhsvuqtr,CAt,-204
-688,CAt,0.331,doG,780,-0.4405,989
0.014,-0.0785,0.0055,yibogkvpmj,-0.232,-0.31,caT
osecquunep,cAt,lbcdexhxfm,0.1525,0.254,0.2895,0.2515
0.4905,0.187,dOG,mcnwpiarxy,caT,-0.0825,0.161
doG,doG,ixisurirvm,-0.4455,-508,mblnjfdmvb,-446
0.1975,DoG,doG,htsdedcqnf,koqivotgwj,0.4495,Cat
-0.109,-113,valbfpmcpy,Cat,DOG,bmxwangkhz,mqmzahrjdm
781,934,-604,xhecvtghqi,ksdoqrljtx,ylsahrexvw,iqbsiicndm
0.148,-952,dOg,jtyrlpcejd,xjwqglwibo,ebzurxoszj,xubapelgmf
xajwnaqkbf,0.107,-0.435,qgnydmeack,-629,-0.103,CAT
0.226,bxfjlrkapt,-526,aavbupsyjz,0.4805,0.3915,0.015
-620,pnblelwplm,462,DOg,ohnpccvgzf,CaT,-393
pyjjojyvxj,-0.176,DoG,xygixirnpf,-0.1015,fykhlhkwmq,0.279
562,ladlnqpupi,204,gpewyoqtqa,-570,-0.321,CAt
-0.33,Dog,uplgadodym,-0.3335,-298,-0.2785,cAt
-926,-0.199,wwnnaayysh,lmkhexwouq,-471,868,-0.437
656,vgaioaulua,0.134,fgupvgroov,37,mpxyzwzgah,wkxurgyocg
mbbvrtndei,525,0.2115,881,0.4025,xpofiebsfu,-368
-0.133,kctwkwdleu,vvclopjvmr,-0.281,DOG,jljbcouixr,cAT
DOg,klbxuzbecu,4,-0.203,zrlhharzxn,-85,kcvwghtcvh
fizxoznfqy,doG,DOg,cAT,evndsevjbe,dog,ttqscasnxc
DOg,0.068,-0.3295,wnwelbzypk,DoG,786,-667
0.0155,jjybvmlyic,-0.0915,jmaklbfqmy,11,mkhmojvsao,DOG
wgvcuhcios,0.334,-192,DOg,DoG,doG,-0.345
0.051,dog,doG,doG,sdfusybbje,kqhzqcnqud,dOG
mazubmauge,-492,-0.429,DoG,0.49,auogkvnomv,cat
-0.227,0.393,846,-248,-271,-839,CAt
CAt,715,0.2625,0.252,utbyuorwfz,-0.297,CaT
-0.149,145,0.2775,-269,-17,bgcykpxlbt,tseserdogh
CAt,618,410,qqmpqsiyzg,CAT,CAT,370
0.2755,-0.1035,kiemvncdpp,pithwgczct,-678,0.202,-429
qkfcduqlfo,Dog,CaT,Dog,-0.189,cAT,863
0.383,142,cAt,cAt,Dog,DOG,0.0855
0.248,-47,-101,-0.115,edpfsuppzp,dOg,lmwwmeteab
0.426,566,uryhtwmlej,890,140,908,-540
0.2105,-787,ztbgybdtow,dOG,pwfrfumfsd,cAt,0.3915
Dog,267,467,gizqzlicdb,DoG,115,-544
zwasxytdqz,cAt,DOg,nnxulrufxs,ulgeelwlmp,Dog,-775
