crdoosqaro,drocsqfhjp,xxehkgrhaj,pet
-744,dOg,dOG,CaT
txpvtgscwj,dOG,0.2805,cAt
290,-0.1025,-941,-0.1605
ajozoowkjv,qcgqokmnsq,caT,vtdykghcgm
iqezzqtkgm,390,0.0165,dOg
lgkftatjia,dOg,-316,dOg
-502,lbnwecpwml,DOg,DOG
ktmuxidyxg,0.192,0.2835,0.3215
-339,CAT,280,pymvltwykx
-0.104,0.1175,fbojpfcioy,Dog
DOG,596,0.0985,Cat
lutcxurodl,pdbjewddnc,-0.019,dOG
-0.3535,cat,dOG,CAt
DoG,0.162,-744,DOG
kkcsbthrzg,53,CAt,DOG
888,DoG,-276,90
Cat,0.458,-837,0.129
fpvnfoyrgw,-646,-0.0405,0.0525
-837,-0.301,168,hijsdeauul
0.0535,Dog,cwqetqtvmq,-0.0565
-770,796,efihhbtqhj,dOg
-30,-397,-302,DOg
cAT,0.3385,620,CAt
-368,0.0535,ktgbvkdmme,caT
-789,cat,keiyizdxyu,DoG
dog,0.026,829,doG
lwzwchrjte,0.4975,193,doG
gksqtkyvdr,doG,0.3385,0.041
946,kywmqbhqiq,447,DOG
bdfklmlkmy,dpmulmpccv,huxymvtmin,CAT
453,oqqhgepgoo,0,caeosogmkx
199,ionlzlmhim,481,-978
aelijsrhna,34,-202,-0.477
306,ytmtjsmdtc,-0.396,DoG
774,dog,yxhcizsykc,0.496
0.4215,DOG,wuqpacoxme,cat
Dog,-716,-0.331,-834
-0.3695,292,0.288,CAT
-0.0645,slglgztvwj,-674,DoG
wdyfwomszs,0.2245,0.0815,DOG
0.1045,jrogfynzei,-854,Cat
29,-0.1135,-0.4865,vvgskdnior
aiuxdsjulj,qpoxsntcyp,-0.2275,cAT
-0.164,-303,lkqcodyjmt,DOG
0.354,tzhensdbrh,92,uatdaisdlb
Dog,-0.407,yabgrgxkdu,0.3155
814,0.2405,0.4445,-346
cAt,ipgwpcvppm,-0.4665,caT
425,0.382,813,dog
-376,cat,dvufhwgvxj,doG
640,0.464,-0.3195,cAT
gcwkqobrvq,-0.213,lmcynqaxmd,cAt
-859,zkaosemegh,0.158,doG
216,444,0.1855,Cat
451,-930,-844,cAT
DoG,-0.463,wapeplxdhz,doG
dOG,623,701,DOG
kjffxosubf,508,CAT,-0.0225
-292,CaT,stngtwcanf,CAT
nommdkiziy,DoG,cAT,doG
404,pnsnyajybk,anlxnacnsy,dOg
DOg,370,-501,cAt
-636,Dog,ljcqcoyjau,DOg
lxqwbjxmfd,jtodwknhwe,-546,dOg
qmcarxicfx,-4,lsilxvznvg,dog
-160,hosfsxhcws,xyaeulvfmm,qmdbfwcygg
-0.221,-529,cogfuwfbmh,dOg
dOg,Cat,0.1715,-621
gaanusiido,0.4275,dog,CAT
zxpyoxtuow,-944,727,cAT
fzvukgwlep,-905,jfslzkjhuu,rhjlemauak
