eqexsljaoe,ortnzpbymx,uerapcpuhm,pET
ppbykaqeyz,351,cAt,aexkhrjylt
77,-0.0945,mppzbjvggu,CaT
xvctqueniv,-0.463,0.3745,cat
mcztsvbuyy,0.0555,-437,afowsudewa
DOG,0.0505,-0.3015,jqrhsugsgs
-998,efjukwumgg,zuizqyvygz,Cat
0.2225,0.0275,908,dOG
-280,Cat,-605,doG
-437,CAt,0.48,DOg
-0.4755,ajezrnvvhk,doG,caT
848,DOg,-236,CAt
0.412,qxnhkswhbj,34,Dog
0.3945,0.386,-0.417,-914
uxlgvmsamd,rluquvkbae,digdghuefb,DOG
cat,DoG,cqkxasyhep,dOG
dpodphcijj,0.395,CAt,cAT
0.2415,492,dOg,DOg
106,-314,Cat,CaT
-236,555,687,-170
cat,613,-0.142,dog
-235,546,ohuekuapjb,doG
-180,doG,0.3635,dog
488,-720,zdmvmkvivd,251
nlgssmhljp,sdafuzbdod,-0.326,887
-804,-665,-0.4655,CaT
avfwpawaml,-0.4515,603,cAT
DOg,-0.25,0.1065,cAT
jlucanfjrf,jupugubace,867,dOg
CAt,ihbrouxsad,0.2985,cAt
wvlndmlxet,0.2265,100,dOg
834,nqnsjepddn,neqjxgsdaa,doG
nkvgwfckhw,gwckcjwkaq,-0.048,365
myobxhgitk,-579,dzzrvqaaeo,CAT
284,427,-63,0.101
626,dkljhgexxc,DOG,Dog
spnefnmdra,Cat,-557,Cat
243,dOG,0.0015,-0.202
dcqdmshwzh,0.041,bwqgqrnixn,hgodboxsiy
0.428,-371,-983,caT
boeszzpxpl,eoqvfwplhe,727,dog
CAT,wokwyyexuw,-392,dOG
szoebmkrdu,CAT,exnvsucwik,esvumnwpij
609,doG,kaafjgnthj,700
jpzmcztake,CAt,fjbpgvlxvx,CAT
0.1955,-791,-0.1895,Dog
0.3685,-0.197,mciorjhtrd,CAT
xpkpukhtwb,iqpgfgwuiz,dog,mxmstdkwvb
0.4775,231,-0.0435,dog
pusybbueau,-420,bjdypxafae,DoG
0.365,-0.2945,0.199,doG
mlqizosjzi,cAt,dOG,CAT
-0.045,CAT,xxuatpgcfr,gsagfjzqis
22,0.376,cat,caT
-0.322,444,-420,-0.0835
oeezxdasib,tafznxwrfl,908,Cat
nyzynvzxif,fxvoyejivw,-934,cAT
mqakxdjupj,0.1815,rawufjfiwj,cAT
CAt,0.207,599,dog
0.483,-480,qhietqwimi,0.364
hcznrswsxq,wambznoslj,cgncyogpuu,caT
DOG,rjjyawhqic,0.2855,caT
924,CAt,qcuswxhnqa,0.269
147,-0.3875,twecxspgvl,714
719,Cat,ahrlubfisw,cAt
mrvyslyfti,cAT,0.111,inldftzhkz
0.0795,wgsnrjxwef,wvgcbgianv,Dog
