bhocwabnhv,fgyeqyblec,dyxseuzigs
-867,-0.0655,jtnudcahno
750,0.254,josclubtfj
cqmbshpxai,0.1505,DOg
llzyzdoogl,-548,pxcabfvjsg
-0.4495,-0.06,bwdaxtdzwa
doG,tvqnswxugz,-800
ivttgurrdi,jnawyzsmfm,-0.084
mmruwianxy,xafyfxxovm,-635
-429,dog,-738
esgrvsjpse,62,438
-0.206,0.0475,-250
yrojdsfodo,fhiywyccwt,DOG
CAt,-223,cAT
0.3625,-58,cakpptvpdz
-697,-579,-685
pstdbceemy,-51,252
-658,rfvbptgpgq,jlaxhgvzch
shnekjemfl,hclwcgbtzp,xxcywijwra
-584,-558,-0.1865
-402,zzvoixoews,DOg
nggxhonzke,0.081,tfurwlzbdn
vcbmektzgg,oaxjyshhna,gzjpltewzd
0.1825,756,gkeyggplgd
0.473,caT,ezukxlpnng
0.139,-0.248,qsgvimzpct
caT,vhwfpzmedr,0.4025
pawlsehsiu,-100,Dog
0.0345,-0.271,DoG
-0.063,-481,Cat
0.1005,doG,-879
603,chjvksyioy,-583
-0.4875,0.4915,hnguoaozac
422,gyngrchpff,cqkpgidfgs
-234,-0.038,0.4955
iswiycmplc,-0.036,-410
0.451,dOG,-0.088
-0.2325,-0.45,rtrfjkdaji
Cat,wymklknkwv,730
