aqagohzrqd,pEt,nuzpvyfkwv,ggqcqscfxd
-533,caT,132,sfblftcgws
tpofryfioc,CaT,-0.4845,-0.13
mugubttodw,-328,535,vreafaswuy
exokyvlquv,DOg,doG,544
ldowzgwxaf,878,0.1225,-0.287
ezydcdmlhi,cat,-961,DOG
0.176,CAt,909,Cat
-249,jriykatdlu,-0.09,-822
0.161,CaT,-0.214,cAT
clqcssmvpf,-0.147,-0.1355,0.1095
-0.31,DOG,863,lttvploqyi
-0.2965,CaT,gyjoipqrvl,-0.2635
0.445,cAT,schumujrxe,904
ycvumjkbvg,DoG,nrkahdjaqk,586
-0.224,DoG,210,963
DoG,-0.4695,hdzjdwiyog,gqomxovdpy
-0.299,DOG,doG,235
mlvatwpdrl,cat,aqwvjrrzqq,-0.4655
-977,DOg,-720,avtkglvrkz
-0.4165,cAT,235,-105
-202,umgugdpueq,doG,pwlbunyjsp
-0.335,DoG,0.34,-673
-991,-751,txeaxotooq,-402
732,cAT,-843,dog
CAT,-417,tjkbtqrwpu,doG
hbeyzweaje,CAt,0.2425,-390
-359,cat,oszexpdokq,CaT
rjnblcibmo,cat,-0.2215,CAT
ayddntsztg,cAt,Cat,0.1835
huzewavrdl,cAt,vwzmdtyjit,0.0005
ngsxqhifvu,cat,dOG,0.1035
-868,-997,0.225,cAT
-314,cat,87,jeatalzrsb
xhqclanjsm,sujwneoemr,883,634
rnarxqkvob,Cat,lbrnthmikd,-0.038
DoG,caT,-186,slutoikxbi
dOg,doG,-181,-716
yaikgdjlvj,CAt,0.1385,0.3075
-893,CaT,654,kcohlnvnwv
868,cat,0.4665,huinwpejfy
aovqliqztg,DOG,801,cAT
980,cat,-127,rsmytrudax
DOg,cat,CAt,904
-651,dog,-0.024,0.468
dweopkqdcv,dOG,dog,125
doG,DOG,-762,-0.0695
-309,azguoniuyw,rhzowspygq,33
DOg,doG,-0.135,-747
atupzncqsv,Dog,982,-0.4065
0.0115,CAT,843,mhdrnrxxno
-0.0255,CaT,-712,-919
CaT,Dog,-0.221,0.398
cnrnztdetp,cat,faecxtnvsa,-0.4695
nqseurgcit,cAT,0.4,-484
cAt,CAt,-939,-588
zxsjabfxzw,CAt,DoG,-0.265
-0.221,Cat,-0.49,dylluitxzf
-674,cat,twdqcfgcyq,cat
doG,dOg,DoG,rqbmxymxfo
DoG,caT,shnrjgakjj,zrmqlrksrq
dOG,dog,xhldkjpurc,0.487
0.419,-0.0935,923,617
fguxaofvra,dOg,721,dog
-275,cAT,dfqmsbncbm,gezgknwdsw
-0.197,dOg,0.215,-0.456
bokwtfcmih,dOG,arbnkqexsh,-0.4425
hvuujplfzo,CaT,-0.419,nvdivfqwzt
vpbkflbqjr,bdsaqmociu,-743,-0.451
CAT,849,errhirpsra,CAt
stwbdlacdt,-0.27,-905,11
-0.071,jxukfaanhs,0.3225,-126
ojsmqrkcex,dOG,-238,caT
plznuusiai,Cat,suondlpvtr,866
xunwkmxpoe,guzrxuxfrh,CAt,0.197
-115,gyhtganfce,-228,-0.426
-957,662,463,0.067
cAt,Dog,mouesscplz,-331
-0.487,-0.287,doG,yimahkhioi
0.224,CaT,durormlobw,-810
etijjhians,-251,0.0325,mtwbyescsa
-900,cAT,629,114
-837,cat,DOG,-331
qgnujzigtl,DOG,dOg,-0.4895
0.16,Cat,neihtwogsp,0.319
-169,cAt,rnyxbztnxo,DOg
srybfxtzxu,cat,727,civqyocgpv
0.4865,-0.0185,-0.312,erjyqiowng
gdwusnvtmo,-0.1325,Dog,xfdrtntgia
0.413,844,0.2795,-559
CAt,jpjgsqtqko,ldzdmepzps,-555
-0.341,-0.4875,0.4075,kzwmxqrkiz
0.222,dog,-937,-465
yvrrgxijer,CAT,Cat,CaT
dOg,CAT,305,kubjjzdwfn
meimoruvhp,DoG,186,0.372
215,Dog,pqgxgospwh,875
eexvhpixhc,Cat,27,caT
-346,0.221,-758,djyemearto
0.496,757,0.435,cAt
