hwbbstwxdj,pEt,btcbxohhcp,eiwhrsbtef,fthbtxbvui,olgdhylzyf
cat,CAt,808,919,-0.1075,-0.4735
-0.474,Dog,dOG,-0.0585,105,dOG
CAT,0.169,-240,0.424,-0.2445,-220
-658,CaT,-523,-892,0.125,-331
glfjemvupj,DOg,-648,tituwungmq,0.396,-164
caT,excansyrhi,549,sibmxzvtvg,-786,-0.37
-41,Dog,690,bwpuslvgpq,533,-352
603,DOg,953,CAt,146,0.3205
-0.3905,CaT,uqmcootzeg,kdlhxvxsyp,40,suyqgebodc
bhrnepqsre,dOG,wiudrcszxb,zgrlaebwej,wcpzfxxtld,0.434
ygbqmncbnq,CAt,dOg,-510,huakiripnl,efdleilmki
CaT,-0.443,lutnbxzuzd,-0.029,rcczappfhl,wjcoeydxmy
0.2875,Cat,qpvsjbffwi,dtrhtwabuz,445,664
ociqmivqye,DOg,-449,332,-461,caT
0.1755,doG,gaooemftzn,-501,0.25,388
mplgqqiwki,rvvowxoiov,ajtdhsvhti,940,-193,Cat
dOG,dog,pdlpsfjqox,fiymrjgljx,dOG,-0.0095
0.066,cAt,kdaycvdxpw,0.219,jogwropray,3
-367,CaT,cAt,CaT,-652,33
skvchefnbz,dog,0.267,uqkxpeqqfe,-0.276,tqehwizkzw
-545,caT,vvfdmcmjfg,DOG,-0.223,tigpvcausl
613,CAt,-0.1365,61,mivikluwue,-0.066
-0.4605,DOg,gdtqpijqvt,avcshvnaoj,481,nbouemlcaz
-733,gqtfvakhoi,0.451,cAt,0.37,219
CAT,-0.041,0.119,zmnlgwrzpp,218,hztoqzvyfh
-0.1965,DoG,295,661,-190,aefskgbwfd
0.3335,38,tkzjswidtn,0.073,Cat,pqnzubkxab
bkqbikyabt,Dog,0.2995,0.0095,doG,972
qrepnaeybt,einkvealls,0.18,dnpssfwzvu,212,tvqnzhlhfb
455,dOG,36,30,815,dOG
-789,cat,Cat,441,0.4065,cat
-0.427,dOg,-793,-283,dog,cAt
850,CAT,caT,gdjcmskbdt,-0.2845,hhywlhvohy
-0.3915,DOg,466,dog,dgmdvazhbc,rnjqyvbcui
564,dog,lzzmjsjrvn,jrqslenvjr,-0.1865,dOG
0.1785,DOg,-867,ygszakehbz,929,-0.2695
0.018,dOG,0.3965,-0.391,0.0615,ouuxtaysay
460,gynetnzkpw,-0.2335,DoG,wlaedtzpia,928
-0.0425,dOg,240,0.1635,-567,-929
-0.087,cAT,-12,0.02,-0.0865,cAt
-0.4725,0.274,-823,euwnwwwxtt,-333,-0.317
201,CaT,CaT,-81,-0.0465,dog
0.101,Dog,870,nlofdrgwro,qqpnwpbwhk,buddsjdhcp
238,cAT,-530,qjgihcwgam,90,0.4185
sidhgznvbi,-105,-475,-0.3615,ikgyavoprx,275
-0.276,cAT,caT,CAt,0.3365,-0.161
222,doG,958,0.1935,acucznnydz,-886
-910,dOG,0.448,-0.285,0.1165,mgtfqmsluk
-442,doG,0.4735,dog,-0.024,cAT
bznwkpbhhy,-0.4195,zyhuxadoff,ezeudnnqcw,dOg,-861
0.289,cAT,-223,cat,gevcczyrjo,geiamjlhep
0.1605,DOg,0.1025,442,cAT,0.034
cAT,caT,897,803,785,dog
iijfupkodx,dOg,CAT,0.142,Cat,wqnbsnnhsz
DoG,311,imvxzjritd,mxafnlrxmf,-0.23,yzhqibkxsj
oriwyxmnfo,-0.4815,DOG,-0.1975,477,doG
-534,616,566,527,-269,-505
-0.3835,dOg,-113,nrfpnepdkt,-395,143
CAt,dOG,0.3135,998,0.164,-0.3245
ilhbgsicni,DOG,0.2155,axtjufcwui,695,-543
-0.0585,wfrcqzuyrn,ekxzqouvmp,-1000,etxifjiins,0.088
xmxvftedyh,ygidzvijkm,-0.1035,0.0865,51,DoG
-0.4205,DOG,9,-945,-0.1865,241
limyoyxxwi,cAT,cAT,0.314,-0.3605,DOg
-0.358,CAT,arsldibukb,0.3035,-694,-65
doG,dOg,108,913,-280,374
-600,Cat,-748,0.1555,0.1815,dOg
0.088,dog,gepzlknmyi,doG,0.4985,mlottaviom
-0.344,791,-0.108,0.339,0.403,-0.144
vawbrwpzdb,CAt,0.4875,caT,-0.4185,dog
-867,doG,1,0.0705,doG,Dog
CAt,DOg,Dog,lzjcjdceav,upnmxizlio,0.1685
sydthtkjrr,DoG,CAt,0.0335,cAT,snuamczfip
-0.441,dOG,487,-0.112,caT,-0.222
0.231,dOg,mpkzbqicgi,wxsqgtkcvj,auhajopeeq,DOG
dOG,caT,kbmdyrljcz,0.4545,hlbwrghnzk,ratclfoznh
-0.212,DoG,CAT,-0.1795,797,vhbnnfclhm
lwtjglsfef,cat,209,pvuvpcfesu,0.208,CAt
cAT,CAt,-0.151,-205,0.013,-455
CaT,caT,-0.473,gaajyymmgq,-0.187,386
-500,doG,nxzlfijlqh,vipaoabmcs,-0.167,-0.2635
0.3345,qcgufrjmon,xdjjcqiatf,-0.4735,khxehlkcik,-0.0375
yxoyxxkcez,-0.173,769,-0.2895,0.4835,CAt
-0.212,Cat,210,ihsvklabya,-791,-0.206
0.4795,DOg,ganhjhfkts,0.3045,CAt,whfbfhrogu
