dqobzqzxqh,ganilwhgep,wqqrywdbfo,gisjanxddw,bekoenauyy,jionnbeiml,Pet
-278,cAT,sejlrzjbkc,0.076,0.0425,DoG,cat
-501,0.221,Dog,-48,dkeyowejzk,306,DOG
pcclhwekyz,-0.0065,-0.2635,amsjcybrhb,lwjaxgnisy,687,dOg
0.0765,qfnzlacowz,436,0.034,upnsaydhjt,0.129,DOG
dOg,0.0185,abulblikqb,0.1505,-0.134,-741,981
909,-0.404,CAt,136,-0.102,cswafpqorl,Dog
DOg,-0.1155,rpczovtlfr,0.3055,pqpoqmtcya,333,CAT
dog,lqnbqwmbbh,-239,-334,xqvfutzmzw,945,cAt
715,737,582,cAT,-0.123,0.1645,CAt
otdyxknfat,vtbciufqcf,771,-231,-220,124,cat
CAT,527,caT,xkfqfyshgp,xsvahqlzpl,-141,DoG
zskuuomlso,kkhsoqxgoc,DoG,404,kptoydxall,770,DOG
chsihxwpsh,dOg,CaT,125,-0.114,-0.0325,caT
jelivtqrvz,694,0.327,-56,srwnnvoxwv,992,dOG
0.1325,Dog,0.316,nibalorgse,ahqdleetjw,686,DOg
0.3335,92,-0.229,-256,rrmrvqeqss,swzaycuqag,DoG
-644,0.295,dhziibvika,-0.289,cAt,0.304,-0.2585
-0.19,CAT,wcnluuxipy,DoG,DoG,Cat,dog
rvejnqocda,wotbwzhotf,-499,-0.1265,379,-0.0965,DOG
ccpwvaxioz,iiowilpvbu,cat,-0.1295,-795,dOG,CaT
Dog,ynsdhlkjmi,caT,DoG,DOg,gpwezdqvxd,vwvhrtkvos
-0.2125,0.126,-344,873,820,mxldqytxmk,CAt
475,dOG,0.105,636,dOG,891,CAT
265,yqubupgtab,-0.3215,0.3015,Dog,tnmgtryzki,dOg
0.0455,dOg,-970,zvzxvtlkrd,0.201,pjkbnceqzw,ejgtseikjh
arflrcbnhj,bbdsxiflak,0.441,-0.4455,-0.497,nooecdcpcd,cat
801,29,-249,-0.1275,lfoxwejwzm,iekwfwfjhb,dOg
cAT,564,qubkxwyjcb,npqgjqwihu,fcylvysnpj,sjcnyrzzxu,72
0.099,ftphskqorn,plvnbulmed,pongmdbpmb,-0.2305,Dog,pjzfqfkyty
cjosgsttxm,lhooalvdiu,0.2905,-0.13,0.176,-0.307,cAt
pqffuxqaem,wpxeecswgl,879,agiriyvayc,crbyofwefp,0.3105,DOG
