qwbhitxagw,ttorullteu,stsvcykibg,twqtarnlpl,liioqoauta,pET
-646,dskdaivwav,CaT,0.2925,iiexxwshoy,Dog
dog,-966,-412,zacsslbjni,0.0215,doG
-0.3185,noygwhdunh,-0.2575,zauiobzrpm,18,doG
Cat,-886,-0.001,DOG,472,Cat
-654,0.345,qdywciifif,-564,ytehabdwsc,-51
ykhdiankap,247,qqduhcyiha,0.3335,502,xoyxuywzji
-0.3705,-69,-968,-637,rvwnzrtnux,fqosxisclr
-0.2945,-747,-244,CAt,214,-804
Dog,dOG,-0.136,-0.427,0.4165,aqnwkaxcyn
pumcpmmgsj,Dog,-348,-0.416,-0.242,216
lknjbubvja,fcaltjcbrl,Dog,lgfgrihvlt,xrophumwwn,dOG
-875,fczhvaqupw,0.393,-0.456,bqktgvqwqj,dOg
734,-846,CaT,-0.4855,crgurjulyc,doG
0.0565,eidjxfahpv,xzbgyggpti,-688,dog,cAT
huituqcoji,xpjhdeyarq,-0.0035,0.006,0.056,Cat
swlnbkucld,0.28,-655,-0.4495,cat,205
0.1685,ueczzkplzm,dOG,-0.223,584,CAt
dOg,0.2355,-0.274,-0.4135,DoG,DOg
DOG,-0.024,-301,0.4075,0.4725,DOg
sjstkmpnjs,-0.3785,ngaqbszhzr,spbrgkryts,-737,cAT
Dog,dcdudlxver,-0.2845,lwmmrycvmt,-0.0375,DoG
enpdarrgit,DOg,0.256,0.269,DoG,-420
cat,Dog,0.1385,cat,-462,cicgbwuydi
859,-886,633,-961,-551,Dog
0.051,0.44,0.02,cAT,dOG,dog
-0.3275,DOG,CAT,0.232,qgkurgnmuh,cchjvasmbv
jgzmsrrrwg,mikfeilfcq,-726,0.482,CaT,644
okgcbdfywh,628,0.3725,geqzgrmthd,cAT,762
CAT,119,CaT,lwopkcgmmh,lzvfjygvwd,dOG
qkyuqbpuns,wydfznrkmx,oaxkryzhfc,-552,944,0.1385
0.423,-250,Dog,-0.345,-0.373,dog
-0.0225,-955,-713,-0.121,-0.4245,ethrvwehqq
-88,0.15,tubezyyiwo,0.029,447,505
0.454,-0.259,357,DOG,-0.032,-0.246
0.4685,831,kvdsfabyoe,quwlzskzgq,DOG,cAT
doG,tjpdplkyyk,tazlksvcws,-196,0.213,doG
uzfpcmfnfh,dczcxxbxbg,igwviaoegu,xhlymfwvep,cAT,CaT
0.2805,188,-23,669,99,dOg
epvqmktqrw,0.487,-0.174,bvkhshrdmw,rvrtoeehcp,dOG
-0.384,-490,hmsgjlilhv,siydeyfaek,0.2075,dOG
999,-0.3465,-0.356,doG,akujmlegks,-149
cnbpomejvd,doG,Dog,jihaiyctpk,qnjygigxzy,-673
hekodlhmuj,-0.4715,dezbpucicc,yvxktxmvyl,0.391,-830
0.349,0.368,-366,-0.1025,70,-0.354
-0.136,-0.197,dudbjswctf,430,-0.2015,jhdelavxvt
91,0.255,0.341,861,ytltawfnzi,yfoaogbgdt
74,CaT,yrojxvpjsm,-776,-470,0.0415
ademrbfyea,sxnsxmxley,0.4605,-598,osnotwitjd,dOg
-0.176,-0.3945,Cat,-371,-0.1135,Dog
njztgroydl,0.214,0.4195,-894,-797,0.4915
