pmcpnvfjtj,vmcazfzwlt,hhxloxrwua,pET,quqcljebms
caT,pncyhzofgh,lecleuybmw,DoG,0.4675
-962,-251,-0.155,doG,-0.015
-218,-0.005,-0.2155,CAt,erklpyjkvo
lkiagwflwm,mmqajzdlbr,xhstxxwrag,604,CaT
0.016,mnwainfrzs,-0.1825,cwsticosog,-932
-0.293,CAT,-109,Dog,-441
0.4765,olhhzarjsw,dog,-824,dmafaytsum
cat,782,Cat,dOG,vwcpjfsafs
ytgxjrorae,0.1115,sxibberyvd,dOg,0.31
-348,-389,doG,cAT,-0.392
-486,618,hyqhaqyuyn,0.4125,-166
woapwfraci,0.3625,DoG,doG,rorfycjjwk
387,622,0.236,DOG,cat
cat,mzibpcbgyh,-955,cAt,0.1465
cAt,-602,958,urnnrgpoed,0.0235
whqlujyltl,-661,nwnoapdytl,cAT,cat
asgxizlbvg,-718,degzekmktq,uxitraramv,kyrhootrew
-754,-0.064,Cat,dOg,-0.361
830,xnmtdoewie,0.4645,658,0.352
gsqaxpnzii,873,caT,DOg,-0.1795
dOG,0.3655,-0.215,-0.0565,axfifjhtpk
voeeaucjzy,gvvlxyfwuo,0.0,-0.1455,dfqeyytije
-59,0.11,929,-419,0.2975
0.31,596,-0.144,CaT,CAt
-762,CAT,301,caT,doG
DOg,dbivqrwgoz,ezqhfmtcuf,doG,-242
-0.049,391,ebxqknzvfz,cAT,-712
0.089,0.1685,dog,-431,ficdxyspgg
tmtfuegwvr,-0.1305,-0.4325,DoG,dxzfnazuvp
feykwtabkk,-153,luissphulc,DOg,0.4065
0.2375,pyehxxpkfi,eucdrtkdja,DoG,580
cAT,ejccizjlzv,0.0245,CAt,caT
-463,dvzhoofbtr,0.129,-140,alqpbguxti
-0.069,CAt,DOG,rkqjmmuyoa,501
htqjnjswsu,sfqtctorte,CAT,CAt,456
909,-616,0.0775,caT,jtjwstyyuz
-937,0.417,tewbcipzpn,cAT,cAT
caofqnewly,652,-0.449,Cat,sxzwqcovey
DoG,77,0.336,CAt,0.484
-816,caT,dOg,Cat,qoxbbnzbql
0.4205,366,oeixshztrh,caT,chhxgcccop
216,evvkfimsrq,cat,0.329,-163
doG,-501,-0.215,ldhrjhggza,0.3145
hessucynwj,179,hucwaglbjf,DOG,helvpyiidq
0.0985,-0.0875,703,cat,105
cddrgketfx,0.3135,nembmxuaod,caT,zkzkwifovp
-639,-887,0.342,doG,kjrbkcxogb
Cat,opveggnobm,-0.08,-0.081,-130
cAT,jrfluikgto,coqfpbzhkv,DOG,1000
qsgticazvf,xyrcmkyywz,dOG,cat,0.429
xqrylqanbf,0.076,-610,DoG,gpatvpivtf
CAt,daycslkcag,caT,-0.099,819
-922,abhxkmgnmm,0.263,DOg,CAt
vsoyafquki,rwtneptytf,-654,DOg,-160
152,CAT,-124,caT,0.3495
doG,nlcvbltepu,0.369,DoG,xrywtbfvmp
CAT,-563,zhycmwaznl,cat,227
0.406,DOg,-517,cAT,zrhgyfdkuo
hxviuoavtp,ifspoelvzj,xjusrrhzms,cat,wdpbkugrxn
jhljroouzo,DOG,gvxlmsqapv,CAt,539
-0.305,-598,DOG,Dog,-0.121
nttmfeggqi,0.279,doG,0.1505,CaT
dog,0.15,kxkmdjyypr,CaT,cAT
zgipxizady,-547,ulwptlxdlv,dog,rqefjpfgax
-287,150,681,CAt,0.1835
vgzvolxafl,dOG,hfeaodpkjp,caT,0.4845
bybpkiusfh,0.34,cAT,CAT,cat
-0.426,744,dqknsmthhk,DoG,-0.2605
195,-0.0955,Dog,DOG,142
-0.354,lnhasmjjjo,0.4475,-751,-996
-0.421,-164,jxhfwmtrxn,nbcxohkfws,dOG
173,0.071,-0.1465,dog,DoG
-768,457,-0.093,doG,-704
egiiakhifr,-0.3905,574,DoG,-194
199,ffjhcemjws,133,cAT,0.2675
-0.3885,tyzvkikybz,-0.277,dog,-0.3205
mxfsyxpdko,569,caT,doG,dxmymbmamv
emjumzqfyb,-79,983,DOG,-450
-201,-0.2695,809,xykfognqbm,-0.3715
fpdojaskeh,-0.069,DoG,kbqupzcjzg,dOg
rmlgtntsoc,0.4395,194,DOg,556
cbalrpowgw,lcgnxdfbph,-423,caT,-243
abbchnaenm,CaT,-0.165,443,-0.186
-324,-205,wiurjagcqz,DOG,356
qrrgsrxhcr,-0.287,kgpgqudgts,CaT,cAT
-0.4,627,380,cat,0.068
-0.038,rhqqliwkwc,jkjrxgpqww,cAt,cAt
-759,-0.392,iufjvterpb,DoG,-294
