pkfhvncjpl,yxcslbmpsb,weygftavzn,cvezifiqoz,drmufprmie,mydyuppgxr,hhqkhjkwhk
kkdgscczul,654,0.3295,cbivqmuhwm,0.0155,ywrdmttica,0.2795
-0.4135,0.239,Cat,-864,jfzunohaws,0.257,-490
320,738,461,0.349,ksmhumgllg,-0.4415,hdkxmwjbag
-113,cat,-0.2045,Cat,dOg,CaT,-0.4945
-0.0295,0.0365,0.102,-0.149,-823,xhptvguwuz,-0.3965
dmeczzcaka,klwvrxdakk,yyjiqnitor,-0.4825,pkqnycycie,cat,DOG
iqybjwjyfi,-0.006,qwxnozvuns,DOg,-0.3485,DOg,-372
Cat,caT,cat,hycjwhrbzc,-842,965,dOG
-0.1885,353,672,0.05,CAT,218,-101
0.301,ebszwfndcw,0.4335,-0.041,0.3485,-0.0625,fbbkejrmsu
Cat,gmenclwpmw,0.3135,620,-107,CAT,cAt
-0.0675,-990,pcqsrsmeep,194,CaT,268,-0.285
0.146,wospkmczbb,CAt,dOg,qqbstnlrar,CaT,412
renejrqijb,bxyuwgkpnb,0.363,-220,myjwiwbmse,0.3845,0.145
vkdgtpndng,637,dog,-0.3875,CAT,hfxxwrfyzs,-0.016
0.1625,fpirofpvkg,590,mcapdeeuxy,liqeohbuld,0.318,cAT
bxnzjkeqlk,DOg,yamkpvysor,0.4075,dog,0.1405,bzziwxwfcv
syavokeqft,0.144,CAT,DoG,0.0205,dOg,qkwsbrnnbh
CAT,0.162,635,pnfdwkbazr,691,-0.358,168
0.0345,regahiukmk,-52,0.284,0.0575,-508,-0.042
zawcljnwsx,0.3865,973,-235,qbhztqloox,-910,zrppaeodds
dOG,0.266,qhtlbuzoxq,449,ewhqezqasm,411,ozknqslbzs
sfgkihfaym,-636,0.346,0.1775,-148,qrolaudmmk,0.4765
-601,355,790,599,0.1415,0.027,erlddbdydv
439,-471,Dog,-0.349,-0.4955,qqglwumutx,-190
laetglsrcw,-0.3185,gpduxamoct,occpnojxkl,kamxtxauee,CaT,jtcanhmnif
caT,300,uixovmnjqo,-0.434,dsjhuesvux,0.3375,bzbwjboksi
-170,0.1985,0.25,ksxfanzclb,563,-335,864
-248,dOg,CAT,179,0.457,578,dudmowours
-571,doG,CaT,-512,oozmzijxom,dOG,pymiatbtfr
-0.287,nlfalrrdsj,durchhtdgs,-0.4785,552,doG,CaT
572,DoG,uyksjonkcq,CAt,DOG,dog,-56
0.1125,Dog,DoG,-0.264,0.212,0.042,0.476
-0.473,0.497,-591,812,uetvpfwqyu,cat,Cat
jxcqwsuczy,cat,cxpvvwvnkm,0.336,340,cAt,-839
-686,724,bivbravurq,mimtsyzmoy,wvidzljosv,srqzxqqwpx,hjfidogrqc
384,Cat,-0.2335,wnqxasriqj,wjjhwsbdpg,987,0.45
-0.364,0.4425,-0.261,-600,wdeiovuena,-0.4205,216
dOg,0.124,pjenaizdrg,Dog,caT,DOG,harqpgyryk
erxqtyamor,DoG,-804,DOg,cAT,-0.075,181
tacrvrnaeg,632,686,-815,dog,-0.403,174
caT,Cat,0.1425,844,-0.0235,0.0765,Dog
662,DOg,slsxfyybno,njoblwiwks,cdfdzabnhg,-0.247,nlvagowclg
410,672,-300,dOG,yvvevzjgxj,axhfhppxxm,0.112
782,721,944,-0.2005,0.3945,zejaqslttr,0.0775
DoG,qdnxbyaymg,DoG,-0.366,-89,lgbfyujkfb,yjlqjzuqly
0.308,0.018,bdxsctalti,302,aruvdcbwwg,DOg,-419
doG,403,cAT,caT,doG,0.129,CAT
-620,auibatuhkl,-0.3575,137,-134,dog,caT
bpflhmavda,rsandwjsvg,0.436,460,82,gynwfsugri,0.318
blyknjzdhk,-0.497,-653,-456,Cat,-0.304,-0.3015
0.043,0.0695,0.323,-0.3425,CAT,0.4985,0.345
dOg,-0.0385,ngvqnkxplp,oqscwepvdt,ihbtuqifsp,0.4295,dwuppoglli
-642,-0.4115,489,ibdzepfoxr,0.23,-994,-0.429
hlvcghtvda,gmdlqvwnml,sojjdljyuy,-240,-162,ztarcirgba,nhjfycflao
Cat,868,bkbvxwwjdy,464,179,dOG,-397
iigeqwaeze,464,tfeetyfelc,lizufzokpa,jzntdydytq,cAT,0.335
uyifxurhgk,gtgvlbxukq,-0.052,cyrszgpeov,-0.444,890,dOG
hoyltnngca,qzcdkaregu,-166,cat,rcfklukwiq,doG,-0.3875
dupawmqyuc,-0.4675,-816,hjerczvatf,-0.46,cat,687
-0.1115,0.2665,-0.4425,150,-145,dcvyucvpfn,-865
ymbqeukqpl,frgqtelwrb,-692,-88,687,-0.488,esiachnlcf
