dnkxhmxbjh,Pet,cztbfqcblr,ajileuxmky,rsremgaobj,qnorbmgyvs,hphqixxbmo
-0.133,0.3635,odjmhbpgdi,hdvfljiqoc,ssdpqlerli,fsqbmmeupb,nxrgajvbpq
vcalceuapv,CAt,ajdmjahsyc,-643,-818,-0.121,Dog
143,dog,0.4735,-225,DoG,-801,-376
cAT,-643,0.424,807,362,970,-892
177,-430,ralcyrhypx,Dog,0.404,Dog,542
-0.234,CaT,DOg,jvbueddand,uoylmhrgvb,cAt,lwpqteiwtz
dOG,dog,jfllvqfkbj,DOG,doG,736,-461
DoG,572,CAt,dOG,-81,822,-30
-576,dog,-0.2465,-375,uwkqatfqic,Cat,0.4925
dog,CAt,350,piedwvrqzt,dOG,0.0165,35
ruqkpxlocu,xeecjzkasb,-137,757,owzmtusoiu,CAt,-0.208
839,Dog,iaipsntbcl,-0.437,846,300,0.4185
0.1375,315,-722,-692,ekpsjuwjxk,0.499,-732
neohhsptme,DOg,-0.284,-745,0.3955,lnqngtuaje,CaT
tiaddzusox,caT,557,0.2605,DOG,-589,132
-0.4885,cAt,0.0375,DOg,798,caT,0.109
-0.1775,DoG,-622,0.2265,viugjipiyi,vaqwoymtow,-214
537,dog,277,-0.298,lovrzrsrqr,vmsrbdazzc,DoG
392,-460,ydoxbcneae,caT,0.074,0.0265,444
160,lqvjcxqsoj,161,339,dOg,0.1555,-0.3425
nynmathowq,cat,856,164,293,0.4185,cAT
DOG,CAT,0.411,185,zggreeqxxi,9,-178
289,-228,-0.1925,0.4155,CAT,bnsybotswz,cat
781,DOg,509,dtzqtcbnbx,-0.4165,bwinfofgei,0.4905
197,dog,-964,-519,uqpmqtvbiu,945,tmuxazdgpj
0.2155,dOg,-570,apzruwajjj,560,0.126,mafbnybalt
-542,caT,-0.3735,wdcikgiowk,-24,skoivptgtg,gsfasrbimm
CaT,CAT,-205,104,liceuvwhmp,416,wnrseknpjd
446,0.2195,xwribyveoi,-232,Cat,taomhvlany,CAt
40,dog,-975,zfdhmpxloz,-960,0.274,tdymsjxwkg
-0.183,-738,-0.139,Dog,-0.0455,hzpygazlft,pijmqufjni
mjvhvvnjut,cAT,DOg,0.0115,0.4765,vwqldogmtl,hucqmfsjcn
-914,dOg,0.4235,0.0895,-0.417,uxavjgylew,-859
-0.3245,CAt,mjptbrekmf,dog,-0.39,-855,dOg
CaT,dOg,873,59,caT,ruteckzsor,-0.413
0.337,cAT,-56,-833,DoG,dOg,azppemxlfw
zpyimolkct,DOg,-636,drudbtpkdz,-463,ampgbnffcb,Dog
xbdpuloxzq,DoG,-0.1865,0.048,dijthomvka,0.051,0.0855
cAT,dqimbwacbf,502,DOG,cAt,-0.3405,fwbaiyznat
0.272,Cat,-0.4635,Dog,hewuyptxsc,dOg,660
-0.469,Cat,qiqvuhckuy,0.2895,aadpagwbjz,0.186,825
gtkcmjnnrv,DOg,-0.3215,ilkaeyyyie,-592,-0.326,caT
0.0115,cAT,0.4565,-0.2295,fcjlvhekvi,zlmecrouif,Dog
Cat,CaT,-656,-930,462,-0.0885,-0.35
-116,cAt,878,DoG,-0.351,lbblcczypy,-224
hqedtfhqvy,DoG,482,heqfknyjmn,jsuqepafir,0.212,0.131
216,496,0.4135,zrssvypvjh,-910,0.302,uioebctawl
hhwlrbgwoj,caT,esisnltrke,0.4455,cAt,889,-283
-0.3125,DoG,CaT,loqxjgjkqn,347,ohqbrvehoj,736
gsnqjibcop,460,-238,-0.3605,-0.277,gefghseyuc,dtbjheshgj
442,Cat,fhdoigxtdx,-0.163,-172,fnmfhoizaf,-0.12
lpjkouliwe,dog,-695,-0.163,405,salxtfgzlt,0.4045
hcmkxgxuhv,cat,-839,0.4725,-0.4165,caT,-48
-641,-33,587,nhebkfpnsx,-0.496,0.2355,dog
97,Dog,-0.2895,vphbwphgmj,665,xkkgeirump,aprqbesgde
cAT,Cat,569,zkxhuzuupz,-527,0.0765,378
cujawgbskb,Dog,-136,-863,CAt,bfxydesrgf,DOg
-659,dog,pgwqyzvazr,tnrhcfcxqc,ptnnhiejio,dog,dOG
-0.168,dOG,-0.2885,-780,bcmrrypjbt,DOg,cat
-690,DOG,idiqbuuozq,0.328,dOg,0.3915,-72
-0.3555,CaT,665,980,CaT,vhqrutnwxm,xdchccewid
174,dOG,okaxvxryxl,619,0.086,Dog,cgfcavnzqm
-894,cAT,0.218,-0.47,-0.3585,CaT,852
DOG,CAt,-0.0905,igtywzobaa,0.05,iibqaaqibi,doG
dOG,Dog,jnxslilqnb,0.182,483,bvcplcfqjf,-197
