flhnushgui,pfpvxdhnhr,pEt,jfqmhzqdrx
-743,0.027,ktsxrdqcvu,nqiztgksre
828,jkbyljfzvz,DOg,0.051
caT,xpancixejn,Cat,712
jkvvgfnped,-0.027,-637,-195
DOG,bwktvsuahx,dOg,ofvpsxlbwy
0.068,-0.499,dog,-72
jvjrmfkgyb,-858,Dog,lcjgsnsqis
-280,-0.026,CAt,-0.3695
rbcknsphbc,554,doG,xgvhveueqk
554,doG,doG,DOG
140,-0.1585,68,Cat
0.353,-758,dOg,0.251
-964,-0.2275,-0.37,tyuayyjvrh
0.4295,zdvvoaalaw,Cat,-349
-0.108,CAT,0.11,-0.0265
150,0.1165,-0.397,Dog
-242,cAt,Cat,tsoorakbab
0.3805,jkujgneaer,-0.052,addgszbtql
-370,-240,-244,caT
-0.0755,jldaujjfvw,DOg,-660
-667,iieurquwxz,cAt,0.1425
-0.1815,477,DOg,DoG
nrgprpawfq,0.011,caT,zqggcwtofp
-842,0.218,caT,cAt
pjhqfozjfi,0.0425,Cat,0.1565
-976,806,dog,0.454
sciplemuez,myxsgotkza,dog,dOg
doG,ptjwpnkltx,rcfrmhmqam,haoyseolqf
0.354,hxepvaviur,doG,seutnfifyj
ygqeiaaqcg,-0.257,DOg,anlstmcdjl
qwpxvimhxu,-104,caT,bhksoejxdh
-731,Dog,ssqiqaxeqa,pzxosrfelp
-0.3995,-79,DoG,-0.011
ddhnmpbqwz,161,CaT,CaT
-0.4765,446,DoG,0.2915
-0.393,911,ygtlqirscw,dOg
doG,80,wmtahsqusn,pipafdhgtg
