xdnyitqysd,amlyelprvc,yjvxoscqfa,pmcmgjohbi
504,rlczzbhyoz,0.1645,725
clirptmvdb,0.28,rjejiomjvb,-185
0.303,0.3195,Dog,938
doG,jctrclikli,967,rzilqrhqqq
0.1445,0.297,924,-46
-863,-0.2945,0.296,0.4035
-976,928,-47,394
598,gspmviggzj,-0.1255,CAT
plqjdjdpfh,ovbakkkhxa,DOg,dog
952,-409,owivohgefm,-814
0.048,893,612,oybudpppsp
-0.298,-0.2665,472,245
74,cat,790,-0.3615
DOg,inygirizng,tmvvgflmkm,sxhwjhnglb
gtyhsdkfsx,365,-459,cat
0.174,thqhilglct,-911,0.2545
-0.2505,-494,-0.1105,355
0.4775,-181,xwokhummii,-0.19
0.402,-0.252,CAt,phvrmblunr
awpwvhnrit,doG,zivktdiktl,-605
leoolifnkh,cAT,0.455,rjtydfrtsj
caT,-0.2305,-0.4215,DOg
dOg,ldpzgbaefl,0.141,ilycokijdd
936,cat,leqclhscvp,fihgxibuof
938,DOG,857,340
-209,-0.4185,-0.1775,ldowenmpbk
-879,716,hlnknnfmrh,0.228
pydlbmjhhz,-65,-762,271
-659,yvmziwcadd,468,cAT
-947,-85,916,-709
krigjnmxty,CaT,209,cAt
0.405,-0.2815,-684,0.12
-476,199,mqxcrfegmt,0.4045
ihgyzneqpy,xietrgvdeg,sgnkdgorok,-0.208
izrqestbgm,dog,CaT,ymnqwxadtw
jxfrzopbxf,jxxjpwdvrf,-0.3025,-0.2595
0.003,373,-585,dOG
nukldhrgsw,mudknfoban,gvlrvpzrgk,CAt
0.0725,gvtfxgrktl,0.3665,dog
-87,-562,syhdsbliai,-442
tyxxtzbvxy,-0.19,896,-0.1925
0.3295,-85,cat,Cat
432,twhdnoqzhv,dOg,-0.403
0.17,0.492,728,424
0.214,671,-302,974
0.499,cxvkcvaytt,xqynataxxs,tfduvjejoc
rmqeccnioe,pmcqmwfuyf,khzosfxwat,blpupxdreq
116,vzrsknvskp,376,nzmbqfvqhd
-0.0095,mooxodcnql,DoG,0.48
956,484,-0.024,DoG
-0.4665,-0.338,fejpudvace,0.495
olyviodcbc,caT,0.439,0.1855
llkaumbygf,qniwtebiyd,86,doG
juyawimtsv,cAT,-552,-268
xjrilueptq,46,644,0.266
eidtudjkim,htqesbwalc,DOg,-0.17
395,bnffssbegp,-0.237,gisqryabdm
wpxyalbjwa,fdcybasack,-688,doG
DOg,246,-545,ipwiqjhbpy
ivirilauca,gqqpbrsiuo,dOG,DOG
434,-338,CAt,124
cAT,bovfgyryhm,relsuqixco,mdqzwvjqcq
