bpujklrsdi,isnrveudep,PeT,zhanjavmjj,aoqdpwkohs,tbbnynjmhx
crctlkpcnd,534,-0.358,-427,624,fqgtohhspj
tuerrsqgmf,0.272,CAt,0.4265,CaT,-223
-548,-337,-41,havuxdbdft,-0.457,hjcuiquqbf
doG,0.085,CAt,-0.0445,ckgbkioxtx,0.2225
-0.491,-0.4765,cat,Dog,kcrftniaiq,0.349
-0.339,-0.3605,CaT,DoG,lwsrawfiht,43
caT,gmfqgqjlpt,0.3435,-2,txmchohddj,0.4825
Cat,dOg,DOg,0.3335,660,meiqlczsxx
bciiqbvizj,-0.1305,Dog,cAt,nzcnznsfob,327
63,cat,caT,0.3955,qbxiwkuslr,xiwyoxrmdt
cAt,-0.413,DoG,-0.309,edzvavsqua,xcgukodwkm
DOG,-0.273,391,0.215,0.148,-345
-0.045,vqodtcypgn,DoG,-0.0975,0.07,-432
606,mpbahmvzsr,dOG,CAt,0.2885,gvgndoylzo
-0.276,-0.419,krmjppphge,ktdrbrbfzc,-0.059,0.011
-0.2125,0.1975,cAt,gynqevoqnz,cikwrqtcvc,-542
-386,543,dOG,kdycbzbejl,CAt,-380
hrvmuozqix,-607,dOG,2,DOG,fpaxbufqee
hlhqkfpwfx,fmpuzidfgm,dOg,-0.3945,CaT,rvanacgifn
-170,cat,0.28,bwmmxrwemk,0.1145,0.4775
dog,zfutjcndzg,cAt,ohjvtstlqe,-296,744
CAT,-596,Dog,xgelybzchh,vkmfeifylg,ccyvqrjptz
keelfokknx,-250,cAT,247,vhornmaijp,iqgnbynknj
264,0.3795,-978,-0.1145,0.0965,eehumzbwzc
DOG,mjmcybshmp,xirqikzbbx,dog,-0.134,txiewkelia
-0.4815,98,130,qohhyovvpb,0.1535,-0.488
-653,vgdfursawq,uqkkzqhfxq,bfalfdzchq,609,899
438,zjjgrmihlp,yraxybnnkw,cAT,dOG,0.4915
dOg,DoG,DoG,0.143,335,25
173,-939,CaT,-0.085,0.379,963
-0.3695,-0.315,cAt,Cat,965,Dog
0.0485,dOG,cAt,-679,-555,-430
DOG,qhzbnbiseh,cAt,CaT,583,kqujgstmxr
-0.312,-45,doG,ywmuakqcda,jjrwuuqcwo,xkjmkjsyky
0.0375,336,dOg,doG,-0.1735,iyyhqpufek
0.4415,-0.3145,Dog,qhijzvarvs,DOG,-0.21
-0.049,dog,caT,-0.3225,doG,-0.2485
yjkmpskaxs,-200,cAt,361,-531,vzghbwwpmi
0.3655,whfqquqjie,cAt,qnezditiac,jjbcrtgdwv,caT
dOg,-0.366,Cat,-0.4445,-144,yvclcpdcug
-0.1275,-0.126,DOg,-0.221,CAT,sxfccytwqj
iniynflrdh,0.038,CaT,durspisqtq,cAT,0.1855
-437,-450,-353,-175,-186,nimshrcctq
-0.1005,bbqbkwhrir,CAT,hinfesbrah,128,cAT
hzmlnehuna,-774,CAT,-884,0.203,gnvmikfuyn
olsdueaxwa,-0.286,cAt,Dog,149,nmjbrsuunu
