pET,ohhqedkavf,zhzjcbyuyk,kondwzbudk
dOG,tldeebocda,0.415,0.467
ogvvmrjxgo,0.213,CAT,862
cat,-674,109,-328
967,xwksldryrt,-380,dnizyivrgm
CAt,zbxemhsgby,riomqijosb,ychkcupppu
DOg,794,cat,getjxwqrbo
Cat,-0.174,Dog,0.0285
DOg,sbqhcldcul,295,870
553,doG,220,0.425
DoG,-0.3945,-496,0.0115
CAt,-0.332,aksiebnycf,llxqunooya
Dog,ymshbzfwdo,yxucrijmfz,-492
CaT,0.158,117,0.2075
cat,719,0.0895,0.4565
cat,-793,rwkwoyujls,ghqooqxbbt
697,-696,-0.484,-681
dOg,uqfhiovkpr,dog,448
caT,0.4325,Dog,-13
dOG,-813,vafvuubsyq,0.2375
-0.3085,-848,fenzyoqknp,-686
DOG,-790,-24,-601
Dog,dOg,sfprljtgqo,-0.138
DOg,0.3715,0.077,mxsywynlgg
fnmmwvuxof,-375,-0.34,ivxtwnxgvh
cat,-240,-0.247,904
dOg,277,ncrccdifww,tihvhcnemf
Cat,nipwrxixta,CAT,-0.0865
dOG,espzojieqa,DOG,167
doG,-0.159,-916,-0.3125
422,-761,-72,-0.322
