pET,pesczbfzoh,wtyhqomnep
DoG,mglnzshevs,-873
96,0.0795,qmmerrhnzp
hkrkhnyjlt,0.389,cevipwlcbl
CaT,ubnjwqdqns,hvztaejjiq
dOG,cohjbshplr,umslwnjkct
dog,jzumrocqpk,-952
DOg,pbsqdvlqkv,dOg
qewgmvtmyy,-667,uyfmngnznh
zxzdvmwsbe,-0.1965,-0.1875
cAT,mwlgnamzkp,-0.157
cat,0.138,mtblfrzfrs
CAT,jxevdsoacl,-316
dOg,CAt,0.337
-0.1865,0.2365,0.2165
DOG,-916,pgzzinkbbx
DoG,doG,soenhokeiz
DoG,367,296
greanxfzvw,-0.089,eccbselrin
dOG,vinqctadgh,-0.3155
doG,cAt,DOG
Cat,-0.2115,820
DOg,-0.3715,724
DOG,0.012,676
cAT,0.335,ihxpcvosfk
CaT,-0.237,301
CAT,-598,0.3215
CAT,-554,yztoxlvgsd
0.24,-725,0.0555
Dog,jldyicsezl,-395
CaT,0.054,0.151
cAt,aygzujlild,CAT
dog,-0.3915,jmwdrpjjmt
cat,ypijkwnmsw,-0.386
dOg,zlyienezem,-0.1705
doG,cAt,doG
Dog,dOg,lqribczqzb
CAT,-0.353,caT
ykxhiumjqp,wbsmeteuxp,-0.3815
CAT,Cat,0.0475
cAt,-84,doG
CAT,0.063,iovirffrim
CaT,tpnbxgfnqd,0.2175
CAt,0.496,-273
0.4285,0.2185,cAt
DOG,cat,dniqqgcjwt
Cat,DOG,0.0425
DOg,CAT,659
DoG,0.397,dOG
-0.482,wielhctobm,-0.451
Cat,caT,798
-0.2165,-248,mjubyuqyuq
882,-868,-0.277
DOG,0.4645,-875
dog,-627,sdcetiodnc
dOG,xyseylpaqz,Cat
dOG,0.0175,0.4775
cAT,36,gghjmoyoop
-0.2455,owsmmtiglv,fnzgbnrbof
mxjajzhwlk,twczuonafe,-0.223
doG,wuaeivczib,dOg
0.3815,305,0.1885
cAt,-571,-0.4925
DoG,bfjcvfrroh,zwerbyrffw
cAt,bjvkiclzoz,kmgteiglfq
Dog,0.443,0.0575
364,-403,rnaxnnctxm
Cat,erjkcuimdr,0.2885
kuscmzwygf,pmstnjnfwm,ndkojzuvmz
DOG,223,CaT
DOG,763,0.4745
DoG,0.4575,-0.0835
dOg,-0.083,lclyvsddmj
CaT,-746,-68
doG,156,-0.398
-0.2735,Dog,0.1115
DOg,954,0.025
doG,-387,-0.076
CaT,doG,pcjtdinnfr
ylaufxrucq,-456,shfatklmvc
CaT,0.4675,dOg
dOg,-535,-0.2705
ooajgrvtid,517,-408
Dog,gkxcjjwzkr,rnporwaqph
Dog,249,-0.298
DOg,0.004,-514
-627,ufvicpwixx,dOG
cAT,DOg,-0.125
Cat,tsbbdqfwbn,0.213
-586,0.4145,0.43
doG,909,0.1655
DOg,-128,auvhtyeclv
CaT,vbjilsxnth,-0.479
cAt,-0.3185,cat
