zetbdmokrv,fjmebslqkh,vgfehdrubq,wsvbiowbyl,bqpqoyqiym
rzsldbwphs,-476,hivvnmxiym,29,Cat
CAT,-152,CAt,ktceqyywqh,0.0945
DOg,266,qrsnsretxi,ycpqmdqcob,-778
-734,289,DOg,158,955
0.3065,Dog,-49,-0.478,-930
-0.2855,Dog,Dog,-565,sggiepbvpk
0.083,otlixarits,ygbazfxsxs,kkfmfivdnz,jyhclswvau
0.179,-0.0085,218,581,-0.0275
-0.3595,-0.23,545,598,tducazijce
-0.216,ufdauwhgnf,-378,pfifukbvou,caT
0.3325,146,778,-90,-345
-0.378,-603,Dog,tqdauqqtwh,cAt
-695,-0.3465,tlupbmbpmc,-136,-806
0.2655,-0.3275,-193,Dog,0.4865
vhuguhrghb,-0.3285,49,xjgnmoqiee,DoG
-110,300,-0.347,-0.3545,iaczgdvmpp
kyxdnfynkd,-92,-197,vpoxfcwklp,346
ynybizcdhj,0.032,DOg,vxpuwyenwb,-0.0645
upczmiqkgk,203,-0.4515,556,DoG
aesuacpycl,ttzxxkblkw,DOg,Cat,sbcgkqqgkn
531,caT,-195,671,vsgvxmlrii
399,192,CAT,ftibiyglky,Cat
-719,athkmmmfyq,23,jyvqttrrzy,dsrzssbbln
qajkmrduso,0.098,-0.432,-804,gclvlcbwvp
-0.3775,0.3835,ljfovicrnl,peacbhpyrb,-0.112
-215,-0.008,plxyeucmyo,297,DOG
onksjdcjen,plotefuxyb,DOG,0.4295,udkyfbmyqs
vuebjshtzv,0.166,0.4155,-232,-0.3775
DOg,cshkoufadl,dOg,0.106,-0.4515
-0.169,Dog,dOg,cbvjvlyynx,0.219
685,0.0315,-795,0.168,twjvoquqzr
0.007,-0.4325,fbhxifmfdz,-0.3175,-472
dldhpistsf,ajjgrxjgxc,-21,ybuhytzrsd,zsegfudmmm
-0.345,-814,-0.292,wyvwpvbflf,0.2995
cjixvldeew,539,doapdppopn,xeekhmcupw,tmjxfbatbr
CaT,-234,161,cAT,-0.3375
426,qqymxvvril,DoG,oluilyobmk,Cat
mrjipvuvzt,-63,qvmukhockh,514,DOg
claawkctok,-539,DoG,hnmynurfwy,CaT
0.34,211,Dog,wztjxeeijs,dog
-204,ytbowogjeo,mgymftjyrl,abokvkpazo,-445
zqngtnrafu,DoG,ebleauptgn,-871,-0.439
-212,0.222,CAt,nauwuktzzu,-0.1765
optazviaju,-562,Dog,rkewkwirli,496
dOG,-815,yrbgwjuleb,-0.1975,-506
505,-0.4465,uixnflxuky,-0.031,-235
pokhafrvah,188,lhyodwzgaq,dog,-819
cAt,cgidhishgi,vfwxcxdfkt,0.3455,dOg
tpqnuknpkn,257,dog,-322,pwbtscaigd
-655,btruhxacwz,0.072,CAT,-200
0.2065,cqssgfceiy,416,0.2855,-117
qytxhklvpp,-611,ecbdvmhmzz,-0.112,0.2075
0.437,wgwdynljfv,-659,-0.1095,-0.2845
522,-0.3865,CAT,dOg,ewxlsjdhqe
0.332,0.3825,qjrrlequyg,-0.39,oxbibslvht
0.3565,zqzsnflosl,-0.015,-285,eiahktmkvb
0.321,vkhnqtwdqf,syiomnjhfk,Cat,-0.2445
-0.205,117,zfpntdrbok,-201,-0.332
