peT,pdhjfexmod,duitjkstfl,dtqsremmss,voqvcszdko,bwkbmmwkvi,tuecoeqycv
dvustffakj,-0.073,zflamunxxw,497,eiqbomjrdz,-0.4455,DOG
dOg,0.4215,431,zbiackluvj,0.072,-0.2385,doG
Cat,0.122,-0.054,0.261,0.4645,0.0205,-202
DOG,114,fmbstczjve,0.004,doG,vfjwbnheuj,905
dOg,-0.4365,-43,-0.48,0.049,qbfkhkgcrx,amfssdgsve
176,kjgxlkzeoz,doG,lxubxxjpko,571,-906,bjufruaocx
DOG,-0.38,0.256,caT,dmfrcsnrts,-0.128,-882
dOg,mvzplzrjyb,yvkytwfzyb,ipyvidgwmf,-895,0.1705,qxzqgigfsp
cAT,129,fdzotrwzsz,-0.4745,cAT,-62,0.38
DOg,hvvjselezz,-350,569,xpeeftadgq,-265,Cat
doG,-813,roqqrqykew,tegfzrlahp,-0.283,-976,frgqqiompz
doG,CAt,sqwkxzvjkn,cAT,CaT,caT,iujhbwblyd
doG,cAt,ccxvcajqhi,efdccrgvey,0.2665,-0.1225,156
-600,417,-0.2345,Cat,451,0.225,CAT
0.206,fcbqjfcjgh,-0.218,119,szcnmtpeun,-0.0995,481
yddjrrfinj,dOG,qydicfolvb,43,97,-794,-0.292
gietadytiz,120,-0.485,953,97,macseifwuj,doG
