ouceulaxkb,xlbyvvykqq,jhmctyktfn,ttvidtxvlj,jkjxeunkxv
0.002,cwfqbrtsmh,yaoazkbrny,-0.4375,-953
CAT,dog,-0.171,0.328,dog
-0.203,85,layzbtjdjh,cclbwfptsq,wztuntgmpk
-0.0565,0.024,utuzbbxaxr,dog,prawabebpj
hyfmbxvdsg,-712,-49,cat,afuwtvrtol
-0.087,fkygkaooyp,dOG,-0.0905,-164
-0.0015,qmdtmurypu,Cat,tthhkqkcni,-114
728,-741,dog,-45,fhhzgcpiep
0.13,cat,lyryaeafea,-306,-0.4795
kpogianbrf,ylvixcclzl,-0.3385,hkwxhcgypy,gudrwtzhwc
0.2555,dOG,-278,otlzvtqfvg,jzedibyszt
421,opfrfybstw,ftwpqzlqml,jusnyuegid,522
DOg,tdfglnkhmt,ykarqqxhga,sbmlrgwcfw,616
0.2375,-955,728,-0.217,tevdpnpdrw
0.1795,-826,mhzadhtjcw,0.2175,-518
wkhdsggogo,0.3915,-883,tgrkpqkixr,vlpkgbwhal
0.47,slpgqntxaa,jrrumbvjza,-939,dOG
951,-739,zzbtlehalq,0.004,doG
dOG,ugegdjhdri,iwahptlvfm,0.31,cAT
kvsbgejsjh,0.0225,doG,993,tdmpwlwyhq
Cat,zvlchavdvw,-0.162,vywxudoksy,-395
dOg,517,-0.0315,-0.1075,-453
zolnxlxphw,0.2435,0.2405,0.2905,ivohfofiug
dOg,-567,dog,0.3655,831
0.313,-0.277,-957,0.4315,-257
jluungkgvt,zdjttibyjg,kxaojhpupu,381,dvkobaiplz
rclusmxhwl,ijykiifzjn,doG,oajplagixu,jeaobcbwcv
10,-0.312,CAt,CAT,0.213
mtikzxxass,2,740,nkzoamuzon,yajpxucquo
ipkwtdemwz,0.1705,dog,doG,0.428
hracwpdmjd,-182,0.247,-0.007,11
347,qhmeoahadw,-554,-0.2505,484
-0.191,-0.0525,ijddkfxzli,bqakgsnbos,fqfzifssyo
-678,766,0.4575,Dog,-147
cdbhynxudd,qylajswodg,607,ekfzxlurmz,-0.111
-636,0.474,DOG,ofpnqkjqgh,-0.13
gfpmemprkg,-986,nhhccosbbl,-0.442,dOg
-0.357,gkzsgampdd,-0.26,isdyyujiwq,DoG
-0.0685,0.274,-457,caT,-0.1055
jxqtyvxciz,-0.275,0.16,153,0.2835
-0.0105,0.0855,-0.219,0.4265,dOG
sttvmbofen,nyycifhymx,-841,0.3295,-900
doG,327,0.3955,cAt,caT
caT,tfuotorzis,DOg,rzowvezmml,toodovgjzv
cat,cat,qojmfmhduh,825,-636
dog,0.008,0.2245,0.363,dqobnwpkeh
664,CAT,4,doG,-0.277
-246,0.445,cAT,bgmmrqhjte,-0.404
tzaivtvyzw,-0.2925,-435,Cat,0.03
327,cAt,yroijwgmzk,176,-0.079
-371,-0.4775,cAt,0.105,526
DoG,274,0.018,ghzukqazkg,562
-357,-131,-0.0325,-898,493
gypsmihnii,-0.4425,467,cAT,-0.1185
0.1875,-765,DoG,-780,lhlgbjcdmk
kfqkrsemtr,nboqnvdngd,modvjeozxa,-0.4195,wjaqiooiof
2,-341,-757,0.285,dOG
0.373,-714,tkjjztacrw,-581,0.3765
0.4795,CAt,eywibfkyjt,Cat,-34
-713,oslpvcpbbw,-0.018,-0.124,-0.115
-0.345,-649,0.0695,DoG,Dog
ihshzlyilo,yciianctmk,-0.1195,0.4765,cAt
ouzwkvsnxg,-0.0045,azkitbcjns,554,0.2455
CAt,-272,fdxyweaxvz,cat,140
465,-376,0.3725,93,bhadaojijx
dOg,133,znycqnbotk,cat,hlcarigenq
djexrnvutl,-0.0465,-0.0355,68,-0.0945
Cat,siouaifawl,-662,hazixwxbia,enlihzaxow
0.326,-375,DoG,0.35,0.021
Cat,edxrgumckz,nmvwcfltdx,148,368
262,295,-445,DoG,mhhtelwgil
-471,uvbglabwni,zeolccmlpw,-469,-471
DoG,-0.324,fxtyteijrz,0.4715,-568
