vnkdbmxxqa,sjnnjjwlqj,tcnjvsvzpi,wislmpsvxy
-32,dwgqrrljba,0.2395,doG
qlmbrguuky,piyvfiauot,dog,0.119
726,fdgsqvrfle,hnszcrutgj,udsiyvowii
royfzfauyt,-0.1675,-0.4355,bikqckyhdp
hwnzwxhrjw,-0.1685,-914,-0.1085
-0.465,ljptptadzt,twmibzfvlv,-0.0985
-0.4395,-0.2575,pgtleecdxb,nevzcjrawt
-0.1835,980,fkqnxzzlbk,-0.409
gjakeuvfqq,0.137,doG,-497
507,uvxyuqaobk,642,-0.0555
887,cat,0.2965,-205
seocqiyyjq,0.376,lzuqsktije,367
eahtvgdpqd,0.4775,0.3885,-0.3125
-0.4745,-309,0.325,0.413
dsbkowbkut,CAT,-343,cAT
ppajsybstf,-85,0.209,caT
cAT,Cat,CAT,dOg
0.0785,973,CaT,-0.347
caT,0.374,-0.26,doG
-171,DoG,0.218,-504
uyuidjekax,dOg,-781,axrhmkuwch
-0.2245,0.177,jztyztjcfz,-0.1235
