vvtquvhrbl,wkwjrzlafn,ksoosyadlu,yzkfjtnjxm,afguzfnqxl,kizewvjhcf,neoavpobsh
449,-0.1745,cat,ojlcvmpbxg,gxkoioujio,-0.3795,CAt
-930,xptcrxgopa,ekvnzwtpfz,cat,cAT,-0.4335,CaT
tlzubtcvtt,DOG,226,zihnsfloap,CaT,0.4225,Cat
27,-841,-0.024,-121,0.039,0.4475,kdhwtatwlh
0.4005,154,-0.1615,0.334,CAt,600,cAT
vpwynydafg,zayfbrqjja,DOg,-0.437,emuywmdtuv,195,0.252
egiaosefiz,ulgotkzbri,-0.404,-911,736,0.3915,-0.2695
-561,0.176,cibeajdihe,mgjjvavhaf,-269,-832,0.469
511,-0.174,493,mnqafvhzdf,-0.267,cat,gmyrdrrzbk
-265,310,doG,999,lldtyiwtoi,0.446,-0.124
dOg,vnmxrbmmsp,DOg,yoatcfgruf,dftkrqxlyp,306,dOG
0.2185,-0.112,mdlntukctz,34,0.233,CAT,dbfermunxz
177,lnizhsbbgh,ersernqvbv,-0.3865,0.0365,0.3885,-982
DOg,DOg,jnooiwpdfw,CAT,-809,ecprknonnx,xfggauvlpu
-0.2115,CAT,CAt,188,-729,-492,-507
-0.3435,bqgeujzeqj,-442,0.381,jsvpiwubkr,mgsxycvule,-807
-436,0.275,DOG,977,tdrafduswt,0.389,tnuqtdqwim
spfnywinob,DOg,Dog,agblqdcsft,338,0.067,rfdhentjqs
-0.379,857,-562,johazheunq,0.3615,-195,-0.1975
594,dOg,dOg,cat,0.0395,114,dOg
20,-208,dOG,cat,-358,caT,778
woxncrhgoi,dOg,0.281,zlifcocuwq,-0.3245,biunxyxkph,crfdoljmmr
0.4585,CAt,-489,304,245,-0.46,iumpdnazrd
0.29,-0.2855,-0.397,doG,824,953,dog
-0.037,-297,Cat,-0.43,tcbpphvmqp,0.187,357
5,Dog,usociowmps,uqpmhuajgo,DOG,-585,0.491
850,-0.059,DoG,doG,-266,-661,779
-0.2175,-179,-890,bdwlpgxjnc,cAt,-684,crysstdxsb
zmhqxvcoye,ocbyyoxbna,-0.389,-15,0.0475,bnocucqoqc,caT
-628,tphiwbzewa,-0.4795,jwowsuplcp,vfutmsngeg,529,uiayotkamk
cat,-0.493,rbanzcsbda,-0.1035,dOg,-718,patuzbqyck
-0.416,-669,mnlpyrtgwh,-0.249,0.095,-585,-711
0.0675,-169,zybibljgav,0.0495,-0.1925,-0.1665,cAt
iqyhugnwrv,Cat,wtdqrdixnk,lwjaslhsny,doG,0.4545,ilepacojqn
888,dog,kfcymizzdh,-731,0.066,-474,CaT
vysmofmuvu,-0.3445,cAt,-0.266,DOG,-852,-0.1145
Dog,-0.4445,ncctpienqd,jblqbkbdvh,785,-737,ggnqcxkgto
0.286,CAT,aozkeftpkt,pskofqeeia,779,-0.111,dtynbbulwi
358,79,-976,DOG,flkxupscyz,-0.2305,0.1045
3,612,0.319,weexxnvydu,0.102,-0.321,rehayrixcf
ibkjrxozqj,flhnadvsme,-0.249,-0.022,cat,0.448,htfrcwmrvj
qniqqbwxat,0.1655,-0.3345,pwnztfcoip,0.4105,115,-308
837,dOG,cAT,-478,-172,0.096,0.4845
0.166,-70,-944,-782,vaaqihemyr,kltgsqruyt,DOG
-764,usvvynselx,dOG,-0.4985,-0.0985,-300,-0.2085
rqnheyarpc,bdacpghtjy,zqmkhbxlly,ygscxumctf,DOG,-0.0545,-277
fchwvjwlao,vphcpkexbk,-415,812,mydzsikqkm,-297,dOG
klwdhfjkwc,0.35,-573,-243,krcuwqglor,DOg,zaqjjdgorq
