mrdhqjzmha,wfagphcenf,pet,kdpsanqccu,awkfftaqfg
CAt,15,DoG,Dog,-0.277
pnjhrgdkzo,bccohubnga,cAt,0.3015,0.119
ldzkrtvkyd,-352,-0.2305,doxvutiqgq,caT
0.448,sggzkerakb,CAt,0.1725,cfdxyxgzxs
-0.392,DOG,-0.0635,0.1735,-687
-0.2425,-0.2185,DOg,-0.3165,uuctxfmotf
-0.2225,-0.47,DOG,fmxfxrznuc,0.0815
621,0.0515,-467,-0.133,-0.1615
817,kklsajsnjx,CAt,-0.307,nlbeqknwdg
DOG,Dog,-68,0.455,574
0.3125,CaT,dOG,DoG,cat
-74,DoG,Cat,0.2415,nvzeozgsmw
485,fymzjblnhw,hmmltmgfdz,-790,jaoipdksta
cvafaathtk,-728,Cat,caT,DOG
-0.155,0.4185,-180,-379,241
dmmqdwnjcx,dOg,CAT,0.242,-43
525,cat,DOG,0.4915,0.252
dtwpqkipbh,829,cat,208,dqqtibywkh
15,956,cAT,0.3245,eiivthidzi
DOg,-0.3295,Dog,-454,CAT
-0.0885,bcktkkdjnm,doG,xsaqhvwntj,cAt
-0.114,jvoybjlexu,pheaktbtrv,doG,bzczfyxxcz
-486,613,DOg,0.0655,0.055
288,923,ichiaswelx,gzgmgjncha,xqzlhjvemh
-286,-44,fdrztezcpi,0.171,-634
0.328,cksaycpqkm,cAT,bifmipywlp,-95
dOG,iyoklmpiqg,Dog,CAT,zngkifwkol
-16,CaT,dOG,0.341,lqdyghutek
wxnreoetek,0.284,DOG,caT,-0.0595
34,rrzacwsaih,CAt,qposnidwuw,tooltreypj
474,-0.0975,cat,995,-273
cAt,-356,Dog,655,-0.0425
-0.468,191,cAT,-0.275,pcpsvievaw
-0.0685,0.208,cAt,245,Cat
235,caT,DOG,0.1045,-880
lugllqunyn,0.2165,sednlbadzj,0.1925,hqnpbwcrxy
143,jplldxdqbd,cAT,-0.316,911
417,-249,DoG,-0.2785,-0.384
-644,-754,cAt,mgefzqmpsp,-0.103
160,zjxxobkroc,dOg,cAt,-408
-0.298,0.1335,dOg,0.3325,DoG
