wyreenxzbp,drgvdtpvrg,usssxzbqak,PeT,dpliyoyfzb,ofkclhqzya
cat,-429,embbqbaelb,rfmegsssia,CAT,-399
-0.3615,-0.157,vbfpeqbcnn,DoG,0.046,cayqxtidie
0.2555,sshqbieorg,eqqrjddrte,-359,kbnadzpdse,DoG
gfslgrryms,cAT,0.2865,dog,0.4925,jmpwtnguxg
cat,intvhmkfgy,776,DOG,0.337,uznmcumrld
sqzbhmhyjx,haovkkmtzs,-103,pvlrlqjbtw,kjjqbztwvi,diuzilbnie
-505,331,-0.044,caT,CAT,efvnkqpvin
-0.078,-83,-422,DOg,-0.22,utbjjmdagj
ambadkqyjv,-388,-0.314,dOg,-0.0215,0.499
-497,ybxpsaaidr,-0.0785,houpkrqiiu,-0.149,caT
uppaemvnkm,cpjhqqkkvb,-668,caT,-0.1595,0.414
lsbpcjmxpe,0.1395,195,Dog,-700,-0.4805
0.239,ccejvwhxbg,cAT,-987,ixnudcfssz,rvnrhchtjb
0.014,0.416,uajnszwdyh,CaT,dnxmchpkql,tgapgolbwq
alkkenbmug,cAT,0.488,doG,cAt,0.1355
591,-148,CAT,DoG,dOG,hylqwtmpnh
-0.449,ucdxckalqt,248,dog,CaT,-0.3535
931,honwpexqlr,-0.3395,DOG,-0.129,fuwgwonhmw
cdmgormnap,-640,injqhrkyoe,688,ajwwhkvgwx,0.4775
0.0605,-244,56,cAt,0.1985,-0.371
nvzhfoardg,-107,0.0225,hzmbjgenaa,629,0.2045
odhhwyrplc,0.2945,jsgjpugmer,CaT,uhalwdsduu,lqjfxteqxv
-0.0625,CAT,qjtyccnemq,DOG,0.0515,sbkprqllfa
-0.1725,-300,34,dOG,hwdzofrujk,cAt
-338,-0.194,0.25,CAT,Cat,ggaybthafb
543,0.3605,lmvqyewatq,DOg,-854,-0.387
-0.406,ozqukyveqj,-0.1445,DOg,57,50
-124,-0.1135,Dog,cAT,bhzjmoagny,0.202
fdbmcmdouz,DOG,-0.3015,dOG,-149,efilgajrjl
-0.2675,ungeqkemop,hiephwysmf,0.445,vwjmotaekr,303
kfxhppqnay,-0.2725,qhibduckvw,ekbimlvvfx,-548,-120
-0.2105,cAt,caT,caT,Cat,-151
dOG,lalramqlue,0.131,-662,nvllhdrlrc,cAT
0.206,pqrawelxoh,yiwhpjvgqb,wshfeghrjw,974,-547
0.075,-0.23,nwdxlfzenl,dog,tvatiolzrw,-424
-262,332,dOG,CAt,-0.3285,sfsgedmanw
0.2385,DOg,-0.482,cat,DoG,hbtdkpcnnt
uhxbdmzpkr,0.088,CaT,vzekgasahc,fraemscnuj,-0.295
rylbzoznbx,DOg,wmujqhkgpo,CAT,DOG,427
35,dOG,DOg,doG,-702,saoqpgndvh
cAT,-0.3525,-0.2145,dOg,-0.298,Cat
0.2335,473,-916,-0.381,Dog,93
caT,-0.1985,858,-294,0.1835,icvsolnaiz
0.1635,-0.0115,lymhcotwan,dOG,dog,amvzccxecw
hqziihoakp,115,CAT,cAT,Cat,-0.2155
0.0635,0.1945,wyzatxjdda,caT,60,Dog
785,waorettlay,0.1295,DOG,-0.2975,-0.269
ckkbvehybi,510,-0.376,CAt,-199,CAT
