PEt,hrwqzalynp,roahqolgky,vqhoyrpbgp,ntsruomxeh,vjqnzijqde
DOG,-391,DoG,kpqbmkzsby,vpqhjhqhme,327
CAT,wsnerrihbv,qzevixpucz,DOg,106,tkighafhof
dOg,CAT,-0.4025,nrsmpgduzx,0.0085,-655
439,pzkrmqsrjd,Dog,148,-493,-0.208
Dog,0.0805,0.488,fyyvfsohnn,rlbxksveow,-10
caT,-439,xsuhfglnan,Cat,hompqkoxmj,-0.3585
DOG,-923,rdukmbjlrt,ahokfibaor,-748,647
CAt,219,584,0.203,-146,xollqxrdjq
DoG,jqxmacaanf,889,-126,cAT,0.1745
CaT,fddwkgogxt,lsdpkchxqi,ubiyuvoazc,-0.2435,ijqumzeegh
dOg,570,-525,-0.144,-293,doG
Cat,0.2465,-650,rmeegzxyqf,gobiyvoioy,-0.0215
CAt,lmgersolen,-0.126,544,bkfuustqvq,-644
CAt,chpvnsgyuu,zudmzaxcfc,-543,okgepunpbe,-0.3975
DOg,cAT,0.227,-992,-0.013,0.43
CAT,pzfmlkligr,gefcwcvnnc,-0.367,tvstbffgip,-0.1965
caT,cAT,-206,935,-0.24,ybtlhhtelj
xhsyadedse,762,jvcptkvssm,0.1245,lsfwielojs,91
DOg,0.316,-0.2235,-57,0.3185,199
