etmbbetbva,jffadumbdu,cndfiuzgan,peT
xhrkldvzyp,xfekcnzpzm,0.2025,DOg
614,yzaysvedqr,245,-0.252
-83,CAt,-593,CaT
-0.105,0.4685,dOg,dog
jptlrmbhdw,-0.4265,aqkvxooleq,dOg
928,-522,sbuloqhxkh,mvarvotsnd
-0.4845,jidsannbnm,DOg,DoG
ssxzfpqzie,epwsdvgrqu,yfhiywjbql,DoG
-0.382,133,33,-0.408
-0.345,774,CAt,CaT
ozalrhsuuh,-0.3235,-0.3215,cAt
wptrjaixeg,554,-0.234,848
CaT,apfqmosdlx,CAT,gtsqwgdlsb
hsoreidpjv,chxgouatzw,-0.2295,CAT
hdecxpvtdr,0.0175,-86,DOG
jevcuiwwaw,cat,-497,cAt
606,37,0.144,154
0.036,-618,-0.2895,167
DOG,qhkswlhueo,0.2035,0.2875
ipaxnqfggh,essiwtyycv,-310,cAt
0.451,-380,mreucuydpy,ipnmqplhlu
191,-528,0.335,cAT
-294,vhzmfsgmpe,-0.237,DOG
-946,-0.132,-0.39,dOG
-245,giidqlxpfk,DoG,DOg
0,ynvgishqxu,ufxhwzmqfe,CaT
-140,btbzhwaxzc,utbzhvkqnd,DoG
-6,Cat,vmwkfhfpvp,Cat
DOg,-56,0.19,-0.153
pmjpnvnjqd,298,-440,nfffsxttjl
nkpmkbcnis,-0.111,986,ancphjcsii
stxqwtveck,-174,0.071,-0.223
oymxhohcgp,DOG,213,0.3715
aejrsoohku,cAt,DoG,DoG
cAt,664,-485,0.2135
xpszgbvzkh,-0.105,-0.217,cAt
512,cAt,793,CaT
CAT,383,0.17,cAT
CAt,vgzyulxqia,918,-0.102
573,kmptiezrcp,-0.001,cat
0.4925,dOG,-517,cAt
0.414,deymepvajb,-615,dOg
325,0.4475,-263,Dog
527,CaT,Cat,doG
-807,wdiwkduzaf,cat,DoG
-0.327,vyysiusisk,-427,0.1035
-83,udzxqvnlmm,734,0.243
-0.323,jdkhctdnsx,upeattzzzk,dOG
-815,Cat,-0.2405,dOg
-460,748,fsbeokamgj,CAT
dOG,0.397,-219,cAT
-499,-518,CAt,Dog
CAT,cat,-378,CaT
0.171,-0.4725,-0.4555,cAt
