aikgihgtpd,ogpjfqigct,xmniovyoyj
ejllaqhtyb,-0.328,0.085
-710,dOG,eabvawqmmi
bnglyncgaz,itarpdotlm,-522
fylwbhylzc,jzonrozjzb,DoG
DOg,0.1545,-3
-361,0.3075,-0.323
xdcqmhzuco,0.433,qlybfbxrit
415,ozbsuxdhyx,dOg
qbierphjgn,wrtgtrkjct,-0.323
ipdutcfenm,qwadjqstip,swriapwmrx
vzksgjzqwy,0.45,lfmflnayzu
phhhmzdlag,DOG,50
-0.1875,711,0.3605
845,-424,547
DOg,fyykichwgv,-0.492
0.292,kmepeceedj,-496
-345,-152,-0.431
dOg,0.4725,-0.4565
itpobwiemv,evfkygudiq,-0.0745
-0.272,732,dOG
-0.0215,741,iahurfvbol
CAt,-0.098,-985
cat,nrrjzhfdfl,-912
soupdmuknv,0.177,DOG
0.2625,tgseopceuc,0.3255
zhotvavomh,Dog,0.4965
-744,0.1975,krvdfsqhdf
-0.479,0.047,vksecoymla
DoG,-208,-0.2625
dOg,519,qwskslzwxk
