oxkesxzigw,hvvahnzyea,PeT,emfxdiwiil,txpipnxfld,flzugzyqxi,vpdbzfrcxk
-76,Cat,cAt,397,-0.2585,gojuatabld,iohtlfancn
dog,-207,CAT,iremqfydfg,lttfkdmiqn,0.02,-97
152,-0.0285,dog,-0.4615,coyaowertp,426,-0.145
cAT,CAT,dOg,863,-844,-0.2495,CaT
eneilnvmmt,cAt,CAt,CAT,-0.338,-501,621
caT,122,dOg,437,dog,qhovwsxjjw,795
CAT,-0.3035,gdxojrgsmv,eoowvwauvs,DoG,-318,wmievlyhja
0.2295,0.2675,cat,DOg,dog,ilfwxrqfea,547
fdbudjlleh,CaT,dog,cAT,pdxorxsnph,-0.48,965
-0.437,xgitpvniqu,Dog,-0.204,-0.38,-334,0.4015
wfwkgnnmxh,0.353,doG,DoG,0.456,dog,usippllfhc
dOg,-970,0.0375,pinttwyvpc,-663,-241,0.2935
0.0855,jrbsjzmrsz,0.4545,199,-0.3085,kkavdooowc,0.1825
Cat,0.2895,CAt,-0.047,DOG,0.026,cat
-589,tkthwfrvpv,uxoerzfjaw,-115,awussuloqs,2,-808
sahknlwmcd,zdtjsnhfdv,CAt,CAt,dOG,dmzdwnbqss,0.166
-309,ythddoocuv,DoG,tiudgfjoiz,fcrvasqujs,ntkazzotcf,0.459
kenmkxcctv,ekjshlwbor,cAt,-31,-0.019,-2,wkfwqomslg
488,-0.316,CaT,iquwxwglcm,inzvpwexnq,-7,irdojxdsgi
0.4205,198,dOg,0.0445,-0.454,Cat,wowdtbpllu
jsicpnswpc,Dog,dog,0.2765,jclaquigav,-993,-916
zmvubanlzq,vbfdirkwrx,CAT,-0.497,-457,0.0575,CAT
cAt,-0.1685,DOg,tmwgsqvurg,cozericudf,tiapgfkvrs,734
0.242,rfnhafhxdt,Dog,-0.2445,-0.396,-0.2375,intfozdgir
ldasqtroja,blrvtmrtav,cAT,Dog,-649,Dog,0.1405
cAT,-466,olphavfzuo,fwczhycpdu,-467,DOg,CaT
fskipshsrm,0.1375,CAt,nrmqsjuuua,wfyrzqbigx,-432,Cat
ycgxycrovv,bqvsmqdkjg,dOg,809,-0.4585,Dog,DOG
0.4495,-354,-866,DOg,-0.191,dOG,-969
hlqncmwonr,qwmdnlltax,dog,-329,ccetreznhx,0.403,DOg
cvynwogwzz,cat,cAt,0.4125,cAT,372,adjuclsgam
qzfwqmwkrz,fintvllngm,-535,bljrlzplsg,cosqauldda,-840,-0.1705
veudtisore,cAt,0.0695,634,882,rmikcvdhde,CAt
sfapkjytdv,0.1305,swdzzywqke,-627,pgvuezgrqd,djxqezutja,ohpnfokgys
-750,DOG,-0.3035,-0.4195,-957,tglftszgcu,-0.339
-714,doG,dOg,-331,0.136,-0.2205,-0.273
cat,dOg,0.0125,feotbnqlhv,-920,101,0.45
caT,ddksptseek,doG,-0.1055,474,CAT,-422
-0.0355,DOg,cAT,DoG,-932,CAt,Cat
dtfncqvllw,DOG,dOg,shapqwxzbg,-0.066,397,DOg
zxkdxcuzxd,doG,dOg,wodegbhxsq,391,-295,-254
qxrmnjjilz,ydtataelqx,CAt,-907,0.1985,-0.3075,-0.044
0.4965,-0.436,0.084,-612,-166,vrjpvcxpma,dOG
-547,cat,caT,-0.168,dog,-942,869
842,yrosfxryoi,dOg,-829,0.0275,qvqlppizyq,-0.485
0.2425,-999,0.0185,-0.061,-352,-0.199,cAt
639,CAt,dOg,ompwiadnsk,757,-0.2975,0.4925
-188,0.403,Cat,-74,258,855,ngfititmzd
-0.1355,dwyosaghhg,Dog,vbxrflejmm,loidoimioz,cAT,bkaplmbuzd
