agkzduuvrh,pqgwhcfxtl,pet
CAt,lmwucgtjhx,iokuwvttvu
bdztzpesku,thodfpvlkt,doG
otdutvlgqf,0.018,CAt
-39,-521,uffqklchia
-0.4465,99,cat
-805,598,caT
-971,DOg,572
-0.058,DOG,dOg
122,denhmuwlye,DOg
cat,CAT,Cat
-0.268,-0.295,cAT
-927,0.096,cAt
-0.3495,293,CaT
vxvflmtsup,-115,dOG
-105,191,0.2015
caT,euvtfknyco,DOg
difjzbqtdw,0.0845,DOg
-660,Cat,woircmolum
0.067,aqqknbgrvo,104
1000,-132,227
ungrhmdqxi,frvzqjwudh,282
hadpfyoeuc,-36,DOG
-502,-0.213,caT
-15,futhptqfww,DOg
-447,868,DoG
Dog,-0.3015,bnwanfkacw
sgpesnnetk,DOG,cAt
150,-640,caT
0.416,-0.479,-610
-169,0.1975,dOg
887,ewnwuzyyqn,CAT
kuqygiaukd,wgbixsgigl,dOG
-0.4215,doG,zkrreecmog
mpzvnrcxch,-0.028,DOg
-0.0235,420,DoG
vmjvpdmtly,-0.3915,Cat
-464,nhueppbmxp,dog
0.0895,666,dog
-698,0.3515,cAT
cAT,174,Cat
-410,107,DOG
0.3785,991,cat
dypuqkfvef,CAt,cAt
nxrzmcvlyf,engywhozeg,CaT
dog,400,CAT
-589,72,ocnxwpizdh
-0.3445,CAT,-304
bdyvstmgrk,DOG,DOg
ecnayeqtcp,jzzwrgmwkp,lwkbvvwvpo
962,0.2395,dog
62,-0.0855,0.269
688,puiqtorszk,dOG
CAT,whvsrcamrp,cAt
-84,-614,cat
-0.4785,zhpppvrjfy,-0.269
xwhdlmbdrx,DOG,dog
-0.4305,682,cAt
-292,xtxiyumolt,dog
-230,jmpbmsojio,Dog
dcrufqlclz,tagpzmzjyg,cAt
-0.4415,0.1695,caT
0.17,caT,cAT
wfouimfxuu,mepxlfbbix,cat
-348,DOG,CaT
kcdzvkhvcp,-0.3695,DOg
41,445,0.495
-452,cat,-0.105
ygifffegap,0.439,cAT
-0.126,gyxgnfgpyc,CAT
-880,cdnjfqegnw,DOg
205,-0.0875,doG
ikvpalianr,0.247,doG
-204,-737,-472
vqjxrofrli,jtbjdzwlqt,cAt
uopyasflqg,cAt,CAt
tjnuqgzgxl,-941,DOG
yzqmjeiwbo,doG,cAT
fgwclaobci,vrlatpkgol,521
0.3285,30,cat
-0.4995,dog,CaT
882,aqeirslecg,CAT
-0.141,675,-571
0.239,hrdrsawpsp,qoirdbcpuq
cAt,-93,CaT
