prfwnsmvwv,jkogmrbzrm,tfgspfagqd,jpyzllvkvg,xmohhodmmq,juedkzhqjz,oejjkmxzmx
dog,cAT,-382,tnukdwmohe,nhmzhrwnot,DOG,0.3755
-0.2185,0.192,0.4235,-95,-0.2125,307,657
-0.475,-725,ocnlaujlko,pqxkxvperh,978,222,DOg
0.4965,dOG,0.298,dOG,Cat,Cat,jmvivqlygd
evpleeufdg,cat,-283,397,133,-354,thnfdyoilc
jrllnprhjt,eusmlkwcsi,wgccqkejtw,0.2465,erpisrhbxc,-723,637
hauhcjgcua,CaT,-0.2205,478,-0.3615,ocrwpfatna,0.461
dog,-0.1425,-0.351,bvtjgrelpc,-390,snbrbsyhol,ihpmbniixz
0.1935,hkbigtcktp,cat,uyspflzqci,449,egbzrkvieo,kuvztatyzb
712,0.2395,dog,-283,grlxkfujiq,DOg,0.086
kegyuswkqb,-0.173,izursernie,-0.4875,0.3645,684,-612
954,cat,-0.2655,bksyzkgvsj,hofdoxcafe,-602,0.292
jhnjokynlw,699,lphcatflha,-491,stfxgxsmzi,580,Cat
0.464,0.222,-18,-230,-271,dOg,0.461
nxwvccejkr,ggvfslietq,cpoxhhxgjs,191,0.102,coydchdcxv,-0.1235
357,dog,-552,-190,-714,-195,Cat
cAT,txazlqopiw,caT,-900,CaT,0.5,-875
Cat,-0.106,0.0265,ucgzxllrph,0.005,0.172,cAT
odqdbnekcp,-52,-0.124,-0.0305,ovcfnsclpy,jyjwlnpmhk,780
-0.146,qaijtphxza,0.118,dOG,497,-0.187,doG
ssgtbxsdmi,zmkyaepmbb,pzfkxuhdef,vyxqgbjxrc,CAT,CaT,-0.341
255,0.1375,0.4985,0.405,-803,960,995
ionaholdal,welzoorjek,caT,gklsstwoun,nprrxcyzrb,0.029,-0.167
